year,season,season_link,winner,author,author_link,production,production_link
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Milton Rosenstock,https://en.wikipedia.org/wiki/Milton_Rosenstock,Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Max Meth,https://en.wikipedia.org/wiki/Max_Meth,As the Girls Go,https://en.wikipedia.org/wiki/As_the_Girls_Go
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Maurice Abravanel,https://en.wikipedia.org/wiki/Maurice_Abravanel,Regina,https://en.wikipedia.org/wiki/Regina_(opera)
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Lehman Engel,https://en.wikipedia.org/wiki/Lehman_Engel,The Consul,https://en.wikipedia.org/wiki/The_Consul
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Max Meth,https://en.wikipedia.org/wiki/Max_Meth,Pal Joey,https://en.wikipedia.org/wiki/Pal_Joey_(musical)
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Lehman Engel,https://en.wikipedia.org/wiki/Lehman_Engel,Gilbert and Sullivan SeasonandWonderful Town,https://en.wikipedia.org/wiki/Wonderful_Town
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Louis Adrian,,Kismet,https://en.wikipedia.org/wiki/Kismet_(musical)
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Thomas Schippers,https://en.wikipedia.org/wiki/Thomas_Schippers,The Saint of Bleecker Street,https://en.wikipedia.org/wiki/The_Saint_of_Bleecker_Street
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Salvatore Dell'Isola,https://en.wikipedia.org/wiki/Salvatore_Dell%27Isola,Pipe Dream,https://en.wikipedia.org/wiki/Pipe_Dream_(musical)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Milton Rosenstock,https://en.wikipedia.org/wiki/Milton_Rosenstock,The Vamp,https://en.wikipedia.org/wiki/The_Vamp
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Hal Hastings,https://en.wikipedia.org/wiki/Harold_Hastings,Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Franz Allers,https://en.wikipedia.org/wiki/Franz_Allers,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Herbert Greene,https://en.wikipedia.org/wiki/Herbert_Greene_(Broadway_conductor),The Most Happy Fella,https://en.wikipedia.org/wiki/The_Most_Happy_Fella
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Samuel Krachmalnick,https://en.wikipedia.org/wiki/Samuel_Krachmalnick,Candide,https://en.wikipedia.org/wiki/Candide_(operetta)
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Herbert Greene,https://en.wikipedia.org/wiki/Herbert_Greene_(Broadway_conductor),The Music Man,https://en.wikipedia.org/wiki/The_Music_Man
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Max Goberman,https://en.wikipedia.org/wiki/Max_Goberman,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(musical)
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Salvatore Dell'Isola,https://en.wikipedia.org/wiki/Salvatore_Dell%27Isola,Flower Drum Song,https://en.wikipedia.org/wiki/Flower_Drum_Song
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Jay Blackton,,Redhead,https://en.wikipedia.org/wiki/Redhead_(musical)
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Lehman Engel,https://en.wikipedia.org/wiki/Lehman_Engel,Goldilocks,https://en.wikipedia.org/wiki/Goldilocks
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Gershon Kingsley,https://en.wikipedia.org/wiki/Gershon_Kingsley,La Plume de Ma Tante,https://en.wikipedia.org/wiki/La_Plume_de_Ma_Tante
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Milton Rosenstock,https://en.wikipedia.org/wiki/Milton_Rosenstock,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Hal Hastings,,Fiorello!,https://en.wikipedia.org/wiki/Fiorello!
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Frederick Dvonch,,The Sound of Music,https://en.wikipedia.org/wiki/The_Sound_of_Music
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Abba Bogin,,Greenwillow,https://en.wikipedia.org/wiki/Greenwillow
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Lehman Engel,https://en.wikipedia.org/wiki/Lehman_Engel,Take Me Along,https://en.wikipedia.org/wiki/Take_Me_Along
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Franz Allers,https://en.wikipedia.org/wiki/Franz_Allers,Camelot,https://en.wikipedia.org/wiki/Camelot_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Pembroke Davenport,,13 Daughters,https://en.wikipedia.org/wiki/13_Daughters
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Elliot Lawrence,https://en.wikipedia.org/wiki/Elliot_Lawrence,Bye Bye Birdie,https://en.wikipedia.org/wiki/Bye_Bye_Birdie_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Stanley Lebowsky,https://en.wikipedia.org/wiki/Stanley_Lebowsky,Irma La Douce,https://en.wikipedia.org/wiki/Irma_La_Douce
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Peter Matz,https://en.wikipedia.org/wiki/Peter_Matz,No Strings,https://en.wikipedia.org/wiki/No_Strings
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Herbert Greene,https://en.wikipedia.org/wiki/Herbert_Greene_(Broadway_conductor),The Gay Life,https://en.wikipedia.org/wiki/The_Gay_Life
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Elliot Lawrence,https://en.wikipedia.org/wiki/Elliot_Lawrence,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Pembroke Davenport,,Kean,https://en.wikipedia.org/wiki/Kean_(musical)
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Donald Pippin,https://en.wikipedia.org/wiki/Donald_Pippin_(Broadway_director),Oliver!,https://en.wikipedia.org/wiki/Oliver!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Jay Blackton,,Mr. President,https://en.wikipedia.org/wiki/Mr._President_(musical)
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Anton Coppola,https://en.wikipedia.org/wiki/Anton_Coppola,Bravo Giovanni,https://en.wikipedia.org/wiki/Bravo_Giovanni
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Julius Rudel,https://en.wikipedia.org/wiki/Julius_Rudel,Brigadoon,https://en.wikipedia.org/wiki/Brigadoon_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Charles Jaffe,https://en.wikipedia.org/wiki/Charles_Jaffe_(conductor),West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Shepard Coleman,,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Lehman Engel,https://en.wikipedia.org/wiki/Lehman_Engel,What Makes Sammy Run?,https://en.wikipedia.org/wiki/What_Makes_Sammy_Run%3F_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Fred Werner,,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical)
