year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,David Wayne,https://en.wikipedia.org/wiki/David_Wayne,Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow,Og,
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Myron McCormick,https://en.wikipedia.org/wiki/Myron_McCormick,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical),Luther Billis,
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Russell Nype,https://en.wikipedia.org/wiki/Russell_Nype,Call Me Madam,https://en.wikipedia.org/wiki/Call_Me_Madam,Kenneth Gibson,
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Yul Brynner,https://en.wikipedia.org/wiki/Yul_Brynner,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,The King of Siam,https://en.wikipedia.org/wiki/Mongkut
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Hiram Sherman,https://en.wikipedia.org/wiki/Hiram_Sherman,Two's Company,https://en.wikipedia.org/wiki/Two%27s_Company_(musical),Various Characters,
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Harry Belafonte,https://en.wikipedia.org/wiki/Harry_Belafonte,John Murray Anderson's Almanac,https://en.wikipedia.org/wiki/John_Murray_Anderson%27s_Almanac,Various Characters,
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Cyril Ritchard,https://en.wikipedia.org/wiki/Cyril_Ritchard,Peter Pan,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),Captain Hook/ Mr. Darling,https://en.wikipedia.org/wiki/Captain_Hook
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Russ Brown,https://en.wikipedia.org/wiki/Russ_Brown_(actor),Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees,Benny Van Buren,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Mike Kellin,https://en.wikipedia.org/wiki/Mike_Kellin,Pipe Dream,https://en.wikipedia.org/wiki/Pipe_Dream_(musical),Hazel,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Will Mahoney,https://en.wikipedia.org/wiki/Will_Mahoney,Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow,Finian McLonergan,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Scott Merrill,,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera,Macheath,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Sydney Chaplin,https://en.wikipedia.org/wiki/Sydney_Chaplin_(American_actor),Bells Are Ringing,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical),Jeff Moss,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Robert Coote,https://en.wikipedia.org/wiki/Robert_Coote,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady,Colonel Pickering,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Stanley Holloway,https://en.wikipedia.org/wiki/Stanley_Holloway,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady,Alfred P. Doolittle,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Cameron Prud'Homme,,New Girl in Town,https://en.wikipedia.org/wiki/New_Girl_in_Town,Chris,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Iggie Wolfington,https://en.wikipedia.org/wiki/Iggie_Wolfington,The Music Man,https://en.wikipedia.org/wiki/The_Music_Man,Marcellus Washburn,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,David Burns,https://en.wikipedia.org/wiki/David_Burns_(actor),The Music Man,https://en.wikipedia.org/wiki/The_Music_Man,Mayor Shinn,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Ossie Davis,https://en.wikipedia.org/wiki/Ossie_Davis,Jamaica,https://en.wikipedia.org/wiki/Jamaica_(musical),Cicero,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Russell Nype(tie),https://en.wikipedia.org/wiki/Russell_Nype,Goldilocks,https://en.wikipedia.org/wiki/Goldilocks_(musical),George Randolph Brown,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Leonard Stone(tie)[1],https://en.wikipedia.org/wiki/Leonard_Stone,Redhead,https://en.wikipedia.org/wiki/Redhead_(musical),George Poppett,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Tom Bosley,https://en.wikipedia.org/wiki/Tom_Bosley,Fiorello!,https://en.wikipedia.org/wiki/Fiorello!,Fiorello La Guardia,https://en.wikipedia.org/wiki/Fiorello_H._La_Guardia
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Theodore Bikel,https://en.wikipedia.org/wiki/Theodore_Bikel,The Sound of Music,https://en.wikipedia.org/wiki/The_Sound_of_Music,Captain Georg von Trapp,https://en.wikipedia.org/wiki/Georg_von_Trapp
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Howard Da Silva,https://en.wikipedia.org/wiki/Howard_Da_Silva,Fiorello!,,Ben Marino,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Kurt Kasznar,https://en.wikipedia.org/wiki/Kurt_Kasznar,The Sound of Music,,Max Detweiler,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Jack Klugman,https://en.wikipedia.org/wiki/Jack_Klugman,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Herbie,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Clive Revill,https://en.wikipedia.org/wiki/Clive_Revill,Irma La Douce,https://en.wikipedia.org/wiki/Irma_La_Douce_(musical),Bob-Le-Hotu,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Ron Husmann,https://en.wikipedia.org/wiki/Ron_Husmann,Tenderloin,https://en.wikipedia.org/wiki/Tenderloin_(musical),Tommy,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Dick Van Dyke,https://en.wikipedia.org/wiki/Dick_Van_Dyke,Bye Bye Birdie,https://en.wikipedia.org/wiki/Bye_Bye_Birdie_(musical),Albert Peterson,
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Dick Gautier,https://en.wikipedia.org/wiki/Dick_Gautier,Bye Bye Birdie,,Conrad Birdie,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Charles Nelson Reilly,https://en.wikipedia.org/wiki/Charles_Nelson_Reilly,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical),Bud Frump,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Orson Bean,https://en.wikipedia.org/wiki/Orson_Bean,Subways Are For Sleeping,https://en.wikipedia.org/wiki/Subways_Are_For_Sleeping,Charlie Smith,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Severn Darden,https://en.wikipedia.org/wiki/Severn_Darden,From the Second City,,Performer,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Pierre Olaf,,Carnival,https://en.wikipedia.org/wiki/Carnival_(musical),Jacquot,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Swen Swenson,https://en.wikipedia.org/wiki/Swen_Swenson,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical),George Musgrove,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Davy Jones,https://en.wikipedia.org/wiki/Davy_Jones_(actor),Oliver!,https://en.wikipedia.org/wiki/Oliver!,The Artful Dodger,https://en.wikipedia.org/wiki/Artful_Dodger
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,David Burns,https://en.wikipedia.org/wiki/David_Burns_(actor),A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,Senex,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Jack Gilford,https://en.wikipedia.org/wiki/Jack_Gilford,A Funny Thing Happened on the Way to the Forum,,Hysterium,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Jack Cassidy,https://en.wikipedia.org/wiki/Jack_Cassidy,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me,Stephen Kodaly,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Will Geer,https://en.wikipedia.org/wiki/Will_Geer,110 in the Shade,https://en.wikipedia.org/wiki/110_in_the_Shade,H. C. Curry,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Danny Meehan,,Funny Girl,https://en.wikipedia.org/wiki/Funny_Girl_(musical),Eddie Ryan,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Charles Nelson Reilly,https://en.wikipedia.org/wiki/Charles_Nelson_Reilly,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Cornelius Hackl,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Victor Spinetti,https://en.wikipedia.org/wiki/Victor_Spinetti,"Oh, What a Lovely War!","https://en.wikipedia.org/wiki/Oh,_What_a_Lovely_War!",Various Characters,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Jack Cassidy,https://en.wikipedia.org/wiki/Jack_Cassidy,Fade Out – Fade In,https://en.wikipedia.org/wiki/Fade_Out_%E2%80%93_Fade_In,Bryon Prong,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,James Grout,https://en.wikipedia.org/wiki/James_Grout,Half a Sixpence,https://en.wikipedia.org/wiki/Half_a_Sixpence,Chitterlow,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Jerry Orbach,https://en.wikipedia.org/wiki/Jerry_Orbach,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls,Sky Masterson,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Frankie Michaels,https://en.wikipedia.org/wiki/Frankie_Michaels,Mame,https://en.wikipedia.org/wiki/Mame_(musical),Patrick Dennis,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Roy Castle,https://en.wikipedia.org/wiki/Roy_Castle,Pickwick,https://en.wikipedia.org/wiki/Pickwick_(musical),Sam Weller,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,John McMartin,https://en.wikipedia.org/wiki/John_McMartin,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity,Oscar,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Michael O'Sullivan,https://en.wikipedia.org/wiki/Michael_O%27Sullivan_(actor),It's a Bird...It's a Plane...It's Superman,https://en.wikipedia.org/wiki/It%27s_a_Bird...It%27s_a_Plane...It%27s_Superman,Dr. Abner Sedgwick,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Gordon Dilworth,,Walking Happy,https://en.wikipedia.org/wiki/Walking_Happy,Tubby Wadlow,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Edward Winter,https://en.wikipedia.org/wiki/Edward_Winter_(actor),Cabaret,,Ernst Ludwig,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Leon Bibb,,A Hand Is on the Gate,https://en.wikipedia.org/wiki/A_Hand_Is_on_the_Gate,Performer,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Joel Grey,https://en.wikipedia.org/wiki/Joel_Grey,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),The Master of Ceremonies,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Hiram Sherman,https://en.wikipedia.org/wiki/Hiram_Sherman,"How Now, Dow Jones","https://en.wikipedia.org/wiki/How_Now,_Dow_Jones",Wingate,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Scott Jacoby,https://en.wikipedia.org/wiki/Scott_Jacoby_(actor),Golden Rainbow,https://en.wikipedia.org/wiki/Golden_Rainbow_(musical),Ally,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Nikos Kourkoulos,https://en.wikipedia.org/wiki/Nikos_Kourkoulos,Illya Darling,https://en.wikipedia.org/wiki/Illya_Darling,Tonio,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Michael Rupert,https://en.wikipedia.org/wiki/Michael_Rupert,The Happy Time,https://en.wikipedia.org/wiki/The_Happy_Time_(musical),Bibi Bonnard,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Ron Holgate,https://en.wikipedia.org/wiki/Ron_Holgate,1776,https://en.wikipedia.org/wiki/1776_(musical),Richard Henry Lee,https://en.wikipedia.org/wiki/Richard_Henry_Lee
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,William Daniels,https://en.wikipedia.org/wiki/William_Daniels,1776,,John Adams,https://en.wikipedia.org/wiki/John_Adams
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Larry Haines,https://en.wikipedia.org/wiki/Larry_Haines,"Promises, Promises","https://en.wikipedia.org/wiki/Promises,_Promises_(musical)",Dr. Dreyfuss,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Edward Winter,https://en.wikipedia.org/wiki/Edward_Winter_(actor),"Promises, Promises","https://en.wikipedia.org/wiki/Promises,_Promises_(musical)",J.D. Sheldrake,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,René Auberjonois,https://en.wikipedia.org/wiki/Ren%C3%A9_Auberjonois,Coco,https://en.wikipedia.org/wiki/Coco_(musical),Sebastian Baye,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Brandon Maggart,https://en.wikipedia.org/wiki/Brandon_Maggart,Applause,https://en.wikipedia.org/wiki/Applause_(musical),Buzz Richards,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,George Rose,https://en.wikipedia.org/wiki/George_Rose_(actor),Coco,,Louis Greff,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Charles Kimbrough,https://en.wikipedia.org/wiki/Charles_Kimbrough,Company,https://en.wikipedia.org/wiki/Company_(musical),Harry,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Walter Willison,https://en.wikipedia.org/wiki/Walter_Willison,Two by Two,https://en.wikipedia.org/wiki/Two_by_Two_(musical),Japheth,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Keene Curtis,https://en.wikipedia.org/wiki/Keene_Curtis,The Rothschilds,https://en.wikipedia.org/wiki/The_Rothschilds_(musical),Various Characters,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Gene Nelson,https://en.wikipedia.org/wiki/Gene_Nelson,Follies,https://en.wikipedia.org/wiki/Follies,Buddy Plummer,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Ben Vereen,https://en.wikipedia.org/wiki/Ben_Vereen,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar,Judas Iscariot,https://en.wikipedia.org/wiki/Judas_Iscariot
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Larry Blyden,https://en.wikipedia.org/wiki/Larry_Blyden,A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,Hysterium,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Timothy Meyers,https://en.wikipedia.org/wiki/Timothy_Meyers,Grease,https://en.wikipedia.org/wiki/Grease_(musical),Kenickie,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,George S. Irving,https://en.wikipedia.org/wiki/George_S._Irving,Irene,https://en.wikipedia.org/wiki/Irene_(musical),Madame Lucy,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Laurence Guittard,https://en.wikipedia.org/wiki/Laurence_Guittard,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,Count Carl-Magnus Malcolm,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Avon Long,https://en.wikipedia.org/wiki/Avon_Long,Don't Play Us Cheap,https://en.wikipedia.org/wiki/Don%27t_Play_Us_Cheap,David,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Gilbert Price,https://en.wikipedia.org/wiki/Gilbert_Price,Lost in the Stars,https://en.wikipedia.org/wiki/Lost_in_the_Stars,Absalom Kumalo,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,Seesaw,https://en.wikipedia.org/wiki/Seesaw_(musical),David,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Mark Baker,https://en.wikipedia.org/wiki/Mark_Baker_(actor),Candide,https://en.wikipedia.org/wiki/Candide_(operetta),Candide,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Ralph Carter,https://en.wikipedia.org/wiki/Ralph_Carter,Raisin,https://en.wikipedia.org/wiki/Raisin_(musical),Travis Younger,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Ted Ross,https://en.wikipedia.org/wiki/Ted_Ross,The Wiz,https://en.wikipedia.org/wiki/The_Wiz,The Cowardly Lion,https://en.wikipedia.org/wiki/Cowardly_Lion
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Tom Aldredge,https://en.wikipedia.org/wiki/Tom_Aldredge,Where's Charley?,https://en.wikipedia.org/wiki/Where%27s_Charley%3F,Mr. Spettigue,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,John Bottoms,,Dance with Me,https://en.wikipedia.org/wiki/Dance_with_Me_(musical),Jimmy Dick II,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Doug Henning,https://en.wikipedia.org/wiki/Doug_Henning,The Magic Show,https://en.wikipedia.org/wiki/The_Magic_Show,Doug,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Gilbert Price,https://en.wikipedia.org/wiki/Gilbert_Price,The Night That Made America Famous,https://en.wikipedia.org/wiki/The_Night_That_Made_America_Famous,Performer,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Richard B. Shull,https://en.wikipedia.org/wiki/Richard_B._Shull,Goodtime Charley,https://en.wikipedia.org/wiki/Goodtime_Charley,Minguet,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Charles Repole,https://en.wikipedia.org/wiki/Charles_Repole,Very Good Eddie,https://en.wikipedia.org/wiki/Very_Good_Eddie,Mr. Eddie Kettle,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Isao Sato,,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures,Kayama,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Sammy Williams,https://en.wikipedia.org/wiki/Sammy_Williams,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line,Paul San Marco,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Robert LuPone,https://en.wikipedia.org/wiki/Robert_LuPone,A Chorus Line,,Zach,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Lenny Baker,https://en.wikipedia.org/wiki/Lenny_Baker,I Love My Wife,https://en.wikipedia.org/wiki/I_Love_My_Wife,Alvin,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,David Kernan,https://en.wikipedia.org/wiki/David_Kernan,Side by Side by Sondheim,https://en.wikipedia.org/wiki/Side_by_Side_by_Sondheim,Performer,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Ned Sherrin,https://en.wikipedia.org/wiki/Ned_Sherrin,Side by Side by Sondheim,https://en.wikipedia.org/wiki/Side_by_Side_by_Sondheim,Performer,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Larry Marshall,https://en.wikipedia.org/wiki/Larry_Marshall_(singer),Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess,Sportin' Life,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Wayne Cilento,https://en.wikipedia.org/wiki/Wayne_Cilento,Dancin',https://en.wikipedia.org/wiki/Dancin%27,Performer,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Rex Everhart,https://en.wikipedia.org/wiki/Rex_Everhart,Working,,Herb Rosen / Booker Page,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Kevin Kline,https://en.wikipedia.org/wiki/Kevin_Kline,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,Bruce Granit,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Steven Boockvor,,Working,https://en.wikipedia.org/wiki/Working_(musical),John Fortune / Marco Camerone,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Henderson Forsythe,https://en.wikipedia.org/wiki/Henderson_Forsythe,The Best Little Whorehouse in Texas,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas,Sheriff Ed Earl Dodd,
