year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
2001,2001,/wiki/55th_Tony_Awards,False,Larry Bryggman,https://en.wikipedia.org/wiki/Larry_Bryggman,Robert,Proof,https://en.wikipedia.org/wiki/Proof_(play),[58],https://en.wikipedia.org#cite_note-2001_Awards-61,
2001,2001,/wiki/55th_Tony_Awards,False,Michael Hayden,https://en.wikipedia.org/wiki/Michael_Hayden_(actor),Oscar Rolfe,Judgment at Nuremberg,https://en.wikipedia.org/wiki/Judgment_at_Nuremberg,[58],https://en.wikipedia.org#cite_note-2001_Awards-61,
2001,2001,/wiki/55th_Tony_Awards,False,Ben Shenkman,https://en.wikipedia.org/wiki/Ben_Shenkman,Hal,Proof,,[58],https://en.wikipedia.org#cite_note-2001_Awards-61,
2002,2002,/wiki/56th_Tony_Awards,False,Sam Robards,https://en.wikipedia.org/wiki/Sam_Robards,Gustav Eberson,The Man Who Had All the Luck,https://en.wikipedia.org/wiki/The_Man_Who_Had_All_the_Luck,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,False,Stephen Tobolowsky,https://en.wikipedia.org/wiki/Stephen_Tobolowsky,Homer Bolton,Morning's at Seven,,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,False,William Biff McGuire,https://en.wikipedia.org/wiki/Biff_McGuire,Theodore Swanson,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,True,Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Flegont Alexandrovitch Tropatchov,Fortune's Fool,https://en.wikipedia.org/wiki/Fortune%27s_Fool,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2002,2002,/wiki/56th_Tony_Awards,False,Brian Murray,https://en.wikipedia.org/wiki/Brian_Murray_(actor),Deputy-Governor Danforth,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,[59],https://en.wikipedia.org#cite_note-2002_Awards-62,
2003,2003,/wiki/57th_Tony_Awards,True,Denis O'Hare,https://en.wikipedia.org/wiki/Denis_O%27Hare,Mason Marzak,Take Me Out,https://en.wikipedia.org/wiki/Take_Me_Out_(play),[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Thomas Jefferson Byrd,https://en.wikipedia.org/wiki/Thomas_Jefferson_Byrd,Toledo,Ma Rainey's Black Bottom,https://en.wikipedia.org/wiki/Ma_Rainey%27s_Black_Bottom,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,Jamie,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Robert Sean Leonard,https://en.wikipedia.org/wiki/Robert_Sean_Leonard,Edmund,Long Day's Journey into Night,,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2003,2003,/wiki/57th_Tony_Awards,False,Daniel Sunjata,https://en.wikipedia.org/wiki/Daniel_Sunjata,Darren Lemming,Take Me Out,,[60],https://en.wikipedia.org#cite_note-2003_Awards-63,
2004,2004,/wiki/58th_Tony_Awards,False,Omar Metwally,https://en.wikipedia.org/wiki/Omar_Metwally,Mahmoud,Sixteen Wounded,,[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,False,Aidan Gillen,https://en.wikipedia.org/wiki/Aidan_Gillen,Mick,The Caretaker,https://en.wikipedia.org/wiki/The_Caretaker,[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,False,Ben Chaplin,https://en.wikipedia.org/wiki/Ben_Chaplin,Jamie,The Retreat from Moscow,https://en.wikipedia.org/wiki/The_Retreat_from_Moscow,[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,True,Brían F. O'Byrne,https://en.wikipedia.org/wiki/Br%C3%ADan_F._O%27Byrne,Ralph,Frozen,https://en.wikipedia.org/wiki/Frozen_(play),[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2004,2004,/wiki/58th_Tony_Awards,False,Tom Aldredge,https://en.wikipedia.org/wiki/Tom_Aldredge,Matthew Clark,Twentieth Century,https://en.wikipedia.org/wiki/Twentieth_Century_(play),[61],https://en.wikipedia.org#cite_note-2004_Awards-64,
2005,2005,/wiki/59th_Tony_Awards,True,Liev Schreiber,https://en.wikipedia.org/wiki/Liev_Schreiber,Richard Roma,Glengarry Glen Ross,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,https://en.wikipedia.org/wiki/Richard_Roma
2005,2005,/wiki/59th_Tony_Awards,False,Alan Alda,https://en.wikipedia.org/wiki/Alan_Alda,Shelly Levene,Glengarry Glen Ross,,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2005,2005,/wiki/59th_Tony_Awards,False,Gordon Clapp,https://en.wikipedia.org/wiki/Gordon_Clapp,Moss,Glengarry Glen Ross,,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2005,2005,/wiki/59th_Tony_Awards,False,David Harbour,https://en.wikipedia.org/wiki/David_Harbour,Nick,Edward Albee's Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2005,2005,/wiki/59th_Tony_Awards,False,Michael Stuhlbarg,https://en.wikipedia.org/wiki/Michael_Stuhlbarg,Michal,The Pillowman,https://en.wikipedia.org/wiki/The_Pillowman,[62],https://en.wikipedia.org#cite_note-2005_Awards-65,
2006,2006,/wiki/60th_Tony_Awards,False,Pablo Schreiber,https://en.wikipedia.org/wiki/Pablo_Schreiber,Ralph Berger,Awake and Sing!,,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
2006,2006,/wiki/60th_Tony_Awards,False,Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo,Moe Axelrod,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
2006,2006,/wiki/60th_Tony_Awards,False,Domhnall Gleeson,https://en.wikipedia.org/wiki/Domhnall_Gleeson,Davey,The Lieutenant of Inishmore,https://en.wikipedia.org/wiki/The_Lieutenant_of_Inishmore,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
2006,2006,/wiki/60th_Tony_Awards,False,Samuel Barnett,https://en.wikipedia.org/wiki/Samuel_Barnett_(actor),Posner,The History Boys,https://en.wikipedia.org/wiki/The_History_Boys,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
2006,2006,/wiki/60th_Tony_Awards,True,Ian McDiarmid,https://en.wikipedia.org/wiki/Ian_McDiarmid,Teddy,Faith Healer,https://en.wikipedia.org/wiki/Faith_Healer,[63],https://en.wikipedia.org#cite_note-2006_Awards-66,
2007,2007,/wiki/61st_Tony_Awards,True,Billy Crudup,https://en.wikipedia.org/wiki/Billy_Crudup,Vissarion Belinsky,The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia,[64],https://en.wikipedia.org#cite_note-2007_Awards-67,https://en.wikipedia.org/wiki/Vissarion_Belinsky
2007,2007,/wiki/61st_Tony_Awards,False,Anthony Chisholm,https://en.wikipedia.org/wiki/Anthony_Chisholm_(actor),Elder Joseph Barlow,Radio Golf,https://en.wikipedia.org/wiki/Radio_Golf,[64],https://en.wikipedia.org#cite_note-2007_Awards-67,
2007,2007,/wiki/61st_Tony_Awards,False,Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,Michael Bakunin,The Coast of Utopia,,[64],https://en.wikipedia.org#cite_note-2007_Awards-67,https://en.wikipedia.org/wiki/Mikhail_Bakunin
2007,2007,/wiki/61st_Tony_Awards,False,John Earl Jelks,https://en.wikipedia.org/wiki/John_Earl_Jelks,Sterling Johnson,Radio Golf,,[64],https://en.wikipedia.org#cite_note-2007_Awards-67,
2007,2007,/wiki/61st_Tony_Awards,False,Stark Sands,https://en.wikipedia.org/wiki/Stark_Sands,Lieut. Raleigh,Journey's End,https://en.wikipedia.org/wiki/Journey%27s_End,[64],https://en.wikipedia.org#cite_note-2007_Awards-67,
2008,2008,/wiki/62nd_Tony_Awards,True,Jim Norton,https://en.wikipedia.org/wiki/Jim_Norton_(Irish_actor),Richard Harkin,The Seafarer,https://en.wikipedia.org/wiki/The_Seafarer_(play),[65],https://en.wikipedia.org#cite_note-2008_Awards-68,
2008,2008,/wiki/62nd_Tony_Awards,False,Bobby Cannavale,https://en.wikipedia.org/wiki/Bobby_Cannavale,Dennis,Mauritius,https://en.wikipedia.org/wiki/Mauritius_(play),[65],https://en.wikipedia.org#cite_note-2008_Awards-68,
2008,2008,/wiki/62nd_Tony_Awards,False,Raúl Esparza,https://en.wikipedia.org/wiki/Ra%C3%BAl_Esparza,Lenny,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming,[65],https://en.wikipedia.org#cite_note-2008_Awards-68,
2008,2008,/wiki/62nd_Tony_Awards,False,Conleth Hill,https://en.wikipedia.org/wiki/Conleth_Hill,Ivan Curry,The Seafarer,,[65],https://en.wikipedia.org#cite_note-2008_Awards-68,
2008,2008,/wiki/62nd_Tony_Awards,False,David Pittu,https://en.wikipedia.org/wiki/David_Pittu,Various Characters,Is He Dead?,https://en.wikipedia.org/wiki/Is_He_Dead%3F,[65],https://en.wikipedia.org#cite_note-2008_Awards-68,
2009,2009,/wiki/63rd_Tony_Awards,False,Stephen Mangan,https://en.wikipedia.org/wiki/Stephen_Mangan,Norman,The Norman Conquests,https://en.wikipedia.org/wiki/The_Norman_Conquests,[66],https://en.wikipedia.org#cite_note-2009_Awards-69,
2009,2009,/wiki/63rd_Tony_Awards,False,Zach Grenier,https://en.wikipedia.org/wiki/Zach_Grenier,Beethoven,33 Variations,https://en.wikipedia.org/wiki/33_Variations,[66],https://en.wikipedia.org#cite_note-2009_Awards-69,https://en.wikipedia.org/wiki/Beethoven
2009,2009,/wiki/63rd_Tony_Awards,False,Paul Ritter,https://en.wikipedia.org/wiki/Paul_Ritter_(actor),Reg,The Norman Conquests,,[66],https://en.wikipedia.org#cite_note-2009_Awards-69,
2009,2009,/wiki/63rd_Tony_Awards,True,Roger Robinson,https://en.wikipedia.org/wiki/Roger_Robinson_(actor),Bynum Walker,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone,[66],https://en.wikipedia.org#cite_note-2009_Awards-69,
2009,2009,/wiki/63rd_Tony_Awards,False,John Glover,https://en.wikipedia.org/wiki/John_Glover_(actor),Lucky,Waiting for Godot,https://en.wikipedia.org/wiki/Waiting_for_Godot,[66],https://en.wikipedia.org#cite_note-2009_Awards-69,
2010,2010,/wiki/64th_Tony_Awards,True,Eddie Redmayne,https://en.wikipedia.org/wiki/Eddie_Redmayne,Ken,Red,https://en.wikipedia.org/wiki/Red_(play),[67],https://en.wikipedia.org#cite_note-2010_Awards-70,
2010,2010,/wiki/64th_Tony_Awards,False,David Alan Grier,https://en.wikipedia.org/wiki/David_Alan_Grier,Henry Brown,Race,https://en.wikipedia.org/wiki/Race_(play),[67],https://en.wikipedia.org#cite_note-2010_Awards-70,
2010,2010,/wiki/64th_Tony_Awards,False,Stephen Henderson,https://en.wikipedia.org/wiki/Stephen_Henderson_(actor),Jim Bono,Fences,https://en.wikipedia.org/wiki/Fences_(play),[67],https://en.wikipedia.org#cite_note-2010_Awards-70,
2010,2010,/wiki/64th_Tony_Awards,False,Jon Michael Hill,https://en.wikipedia.org/wiki/Jon_Michael_Hill,Franco,Superior Donuts,https://en.wikipedia.org/wiki/Superior_Donuts,[67],https://en.wikipedia.org#cite_note-2010_Awards-70,
2010,2010,/wiki/64th_Tony_Awards,False,Stephen Kunken,https://en.wikipedia.org/wiki/Stephen_Kunken,Andy Fastow,ENRON,https://en.wikipedia.org/wiki/ENRON_(play),[67],https://en.wikipedia.org#cite_note-2010_Awards-70,https://en.wikipedia.org/wiki/Andy_Fastow
2011,2011,/wiki/65th_Tony_Awards,False,Yul Vázquez,https://en.wikipedia.org/wiki/Yul_V%C3%A1zquez,Cousin Julio,The Motherfucker With the Hat,https://en.wikipedia.org/wiki/The_Motherfucker_With_the_Hat,[68],https://en.wikipedia.org#cite_note-2011_Awards-71,
2011,2011,/wiki/65th_Tony_Awards,False,Arian Moayed,https://en.wikipedia.org/wiki/Arian_Moayed,Musa,Bengal Tiger at the Baghdad Zoo,https://en.wikipedia.org/wiki/Bengal_Tiger_at_the_Baghdad_Zoo,[68],https://en.wikipedia.org#cite_note-2011_Awards-71,
2011,2011,/wiki/65th_Tony_Awards,False,Billy Crudup,https://en.wikipedia.org/wiki/Billy_Crudup,Bernard Nightingale,Arcadia,https://en.wikipedia.org/wiki/Arcadia_(play),[68],https://en.wikipedia.org#cite_note-2011_Awards-71,
2011,2011,/wiki/65th_Tony_Awards,True,John Benjamin Hickey,https://en.wikipedia.org/wiki/John_Benjamin_Hickey,Felix Turner,The Normal Heart,https://en.wikipedia.org/wiki/The_Normal_Heart,[68],https://en.wikipedia.org#cite_note-2011_Awards-71,
2011,2011,/wiki/65th_Tony_Awards,False,Mackenzie Crook,https://en.wikipedia.org/wiki/Mackenzie_Crook,Ginger,Jerusalem,https://en.wikipedia.org/wiki/Jerusalem_(play),[68],https://en.wikipedia.org#cite_note-2011_Awards-71,
2012,2012,/wiki/66th_Tony_Awards,True,Christian Borle,https://en.wikipedia.org/wiki/Christian_Borle,Black Stache,Peter and the Starcatcher,https://en.wikipedia.org/wiki/Peter_and_the_Starcatcher_(play),[69],https://en.wikipedia.org#cite_note-2012_Awards-72,https://en.wikipedia.org/wiki/Captain_Hook
2012,2012,/wiki/66th_Tony_Awards,False,Michael Cumpsty,https://en.wikipedia.org/wiki/Michael_Cumpsty,Anthony,End of the Rainbow,https://en.wikipedia.org/wiki/End_of_the_Rainbow,[69],https://en.wikipedia.org#cite_note-2012_Awards-72,
2012,2012,/wiki/66th_Tony_Awards,False,Tom Edden,,Alfie,"One Man, Two Guvnors","https://en.wikipedia.org/wiki/One_Man,_Two_Guvnors",[69],https://en.wikipedia.org#cite_note-2012_Awards-72,
2012,2012,/wiki/66th_Tony_Awards,False,Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,Biff Loman,Arthur Miller’sDeath of a Salesman,https://en.wikipedia.org/wiki/Arthur_Miller,[69],https://en.wikipedia.org#cite_note-2012_Awards-72,
2012,2012,/wiki/66th_Tony_Awards,False,Jeremy Shamos,https://en.wikipedia.org/wiki/Jeremy_Shamos,Karl/Steve,Clybourne Park,https://en.wikipedia.org/wiki/Clybourne_Park,[69],https://en.wikipedia.org#cite_note-2012_Awards-72,
2013,2013,/wiki/67th_Tony_Awards,False,Billy Magnussen,https://en.wikipedia.org/wiki/Billy_Magnussen,Spike,Vanya and Sonia and Masha and Spike,https://en.wikipedia.org/wiki/Vanya_and_Sonia_and_Masha_and_Spike,[70],https://en.wikipedia.org#cite_note-2013_Awards-73,
2013,2013,/wiki/67th_Tony_Awards,False,Richard Kind,https://en.wikipedia.org/wiki/Richard_Kind,Marcus Hoff,The Big Knife,https://en.wikipedia.org/wiki/The_Big_Knife,[70],https://en.wikipedia.org#cite_note-2013_Awards-73,
2013,2013,/wiki/67th_Tony_Awards,False,Tony Shalhoub,https://en.wikipedia.org/wiki/Tony_Shalhoub,Mr. Bonaparte,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play),[70],https://en.wikipedia.org#cite_note-2013_Awards-73,
2013,2013,/wiki/67th_Tony_Awards,True,Courtney B. Vance,https://en.wikipedia.org/wiki/Courtney_B._Vance,Hap Hairston,Lucky Guy,https://en.wikipedia.org/wiki/Lucky_Guy_(play),[70],https://en.wikipedia.org#cite_note-2013_Awards-73,
2013,2013,/wiki/67th_Tony_Awards,False,Danny Burstein,https://en.wikipedia.org/wiki/Danny_Burstein,Tokio,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play),[70],https://en.wikipedia.org#cite_note-2013_Awards-73,
2014,2014,/wiki/68th_Tony_Awards,True,Mark Rylance,https://en.wikipedia.org/wiki/Mark_Rylance,Countess Olivia,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,[71],https://en.wikipedia.org#cite_note-2014_Awards-74,https://en.wikipedia.org/wiki/Olivia_(Twelfth_Night)
2014,2014,/wiki/68th_Tony_Awards,False,Reed Birney,https://en.wikipedia.org/wiki/Reed_Birney,Charlotte,Casa Valentina,https://en.wikipedia.org/wiki/Casa_Valentina,[71],https://en.wikipedia.org#cite_note-2014_Awards-74,
2014,2014,/wiki/68th_Tony_Awards,False,Paul Chahidi,https://en.wikipedia.org/wiki/Paul_Chahidi,Maria,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,[71],https://en.wikipedia.org#cite_note-2014_Awards-74,https://en.wikipedia.org/wiki/Maria_(Twelfth_Night)
2014,2014,/wiki/68th_Tony_Awards,False,Stephen Fry,https://en.wikipedia.org/wiki/Stephen_Fry,Malvolio,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,[71],https://en.wikipedia.org#cite_note-2014_Awards-74,https://en.wikipedia.org/wiki/Malvolio
2014,2014,/wiki/68th_Tony_Awards,False,Brian J. Smith,https://en.wikipedia.org/wiki/Brian_J._Smith,Jim O'Connor,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie,[71],https://en.wikipedia.org#cite_note-2014_Awards-74,
2015,2015,/wiki/69th_Tony_Awards,False,Micah Stock,https://en.wikipedia.org/wiki/Micah_Stock,Gus P. Head,It's Only a Play,https://en.wikipedia.org/wiki/It%27s_Only_a_Play,[72],https://en.wikipedia.org#cite_note-75,
2015,2015,/wiki/69th_Tony_Awards,False,Nathaniel Parker,https://en.wikipedia.org/wiki/Nathaniel_Parker,Henry VIII,Wolf Hall Parts One & Two,https://en.wikipedia.org/wiki/Wolf_Hall#Adaptations,[72],https://en.wikipedia.org#cite_note-75,https://en.wikipedia.org/wiki/Henry_VIII
2015,2015,/wiki/69th_Tony_Awards,False,Alessandro Nivola,https://en.wikipedia.org/wiki/Alessandro_Nivola,Frederick Treves,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),[72],https://en.wikipedia.org#cite_note-75,"https://en.wikipedia.org/wiki/Sir_Frederick_Treves,_1st_Baronet"
2015,2015,/wiki/69th_Tony_Awards,False,K. Todd Freeman,https://en.wikipedia.org/wiki/K._Todd_Freeman,Sissy Na Na,Airline Highway,https://en.wikipedia.org/wiki/Airline_Highway_(play),[72],https://en.wikipedia.org#cite_note-75,
2015,2015,/wiki/69th_Tony_Awards,True,Richard McCabe,https://en.wikipedia.org/wiki/Richard_McCabe,Harold Wilson,The Audience,https://en.wikipedia.org/wiki/The_Audience_(2013_play),[72],https://en.wikipedia.org#cite_note-75,https://en.wikipedia.org/wiki/Harold_Wilson
2015,2015,/wiki/69th_Tony_Awards,False,Matthew Beard,https://en.wikipedia.org/wiki/Matthew_Beard_(British_actor),Edward Sergeant,Skylight,https://en.wikipedia.org/wiki/Skylight_(play),[72],https://en.wikipedia.org#cite_note-75,
2016,2016,/wiki/70th_Tony_Awards,True,Reed Birney,https://en.wikipedia.org/wiki/Reed_Birney,Erik Blake,The Humans,https://en.wikipedia.org/wiki/The_Humans_(play),[73],https://en.wikipedia.org#cite_note-76,
2016,2016,/wiki/70th_Tony_Awards,False,Bill Camp,https://en.wikipedia.org/wiki/Bill_Camp,Reverend John Hale,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,[73],https://en.wikipedia.org#cite_note-76,
2016,2016,/wiki/70th_Tony_Awards,False,David Furr,https://en.wikipedia.org/wiki/David_Furr,Gary Lejeune,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,[73],https://en.wikipedia.org#cite_note-76,
2016,2016,/wiki/70th_Tony_Awards,False,Richard Goulding,https://en.wikipedia.org/wiki/Richard_Goulding,Prince Harry,King Charles III,https://en.wikipedia.org/wiki/King_Charles_III_(play),[73],https://en.wikipedia.org#cite_note-76,"https://en.wikipedia.org/wiki/Prince_Harry,_Duke_of_Sussex"
2016,2016,/wiki/70th_Tony_Awards,False,Michael Shannon,https://en.wikipedia.org/wiki/Michael_Shannon,"James Tyrone, Jr.",Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,[73],https://en.wikipedia.org#cite_note-76,
2017,2017,/wiki/71st_Tony_Awards,False,John Douglas Thompson,https://en.wikipedia.org/wiki/John_Douglas_Thompson,Jim Becker,Jitney,https://en.wikipedia.org/wiki/Jitney_(play),[74],https://en.wikipedia.org#cite_note-77,
2017,2017,/wiki/71st_Tony_Awards,False,Richard Thomas,https://en.wikipedia.org/wiki/Richard_Thomas_(actor),Horace Giddens,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,[74],https://en.wikipedia.org#cite_note-77,
2017,2017,/wiki/71st_Tony_Awards,True,Michael Aronov,https://en.wikipedia.org/wiki/Michael_Aronov,Uri Savir,Oslo,https://en.wikipedia.org/wiki/Oslo_(play),[74],https://en.wikipedia.org#cite_note-77,https://en.wikipedia.org/wiki/Uri_Savir
2017,2017,/wiki/71st_Tony_Awards,False,Danny DeVito,https://en.wikipedia.org/wiki/Danny_DeVito,Gregory Solomon,The Price,https://en.wikipedia.org/wiki/The_Price_(play),[74],https://en.wikipedia.org#cite_note-77,
2017,2017,/wiki/71st_Tony_Awards,False,Nathan Lane,https://en.wikipedia.org/wiki/Nathan_Lane,Walter Burns,The Front Page,https://en.wikipedia.org/wiki/The_Front_Page,[74],https://en.wikipedia.org#cite_note-77,
2018,2018,/wiki/72nd_Tony_Awards,True,Nathan Lane,https://en.wikipedia.org/wiki/Nathan_Lane,"Roy Cohn,et al.",Angels in America,https://en.wikipedia.org/wiki/Angels_in_America,[75],https://en.wikipedia.org#cite_note-78,https://en.wikipedia.org/wiki/Roy_Cohn
2018,2018,/wiki/72nd_Tony_Awards,False,Anthony Boyle,https://en.wikipedia.org/wiki/Anthony_Boyle,Scorpius Malfoy,Harry Potter and the Cursed Child,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child,[75],https://en.wikipedia.org#cite_note-78,
2018,2018,/wiki/72nd_Tony_Awards,False,Michael Cera,https://en.wikipedia.org/wiki/Michael_Cera,Jeff,Lobby Hero,https://en.wikipedia.org/wiki/Lobby_Hero,[75],https://en.wikipedia.org#cite_note-78,
2018,2018,/wiki/72nd_Tony_Awards,False,Brian Tyree Henry,https://en.wikipedia.org/wiki/Brian_Tyree_Henry,William,Lobby Hero,https://en.wikipedia.org/wiki/Lobby_Hero,[75],https://en.wikipedia.org#cite_note-78,
2018,2018,/wiki/72nd_Tony_Awards,False,David Morse,https://en.wikipedia.org/wiki/David_Morse,Larry Slade,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,[75],https://en.wikipedia.org#cite_note-78,
2019,2019,/wiki/73rd_Tony_Awards,False,Benjamin Walker,https://en.wikipedia.org/wiki/Benjamin_Walker_(actor),Chris Keller,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons,[6],https://en.wikipedia.org#cite_note-bertie-6,
2019,2019,/wiki/73rd_Tony_Awards,False,Brandon Uranowitz,https://en.wikipedia.org/wiki/Brandon_Uranowitz,Larry,Burn This,https://en.wikipedia.org/wiki/Burn_This,[6],https://en.wikipedia.org#cite_note-bertie-6,
2019,2019,/wiki/73rd_Tony_Awards,False,Robin de Jesús,https://en.wikipedia.org/wiki/Robin_de_Jes%C3%BAs,Emory,The Boys in the Band,https://en.wikipedia.org/wiki/The_Boys_in_the_Band_(play),[6],https://en.wikipedia.org#cite_note-bertie-6,
2019,2019,/wiki/73rd_Tony_Awards,True,Bertie Carvel,https://en.wikipedia.org/wiki/Bertie_Carvel,Rupert Murdoch,Ink,https://en.wikipedia.org/wiki/Ink_(play),[6],https://en.wikipedia.org#cite_note-bertie-6,https://en.wikipedia.org/wiki/Rupert_Murdoch
2019,2019,/wiki/73rd_Tony_Awards,False,Gideon Glick,https://en.wikipedia.org/wiki/Gideon_Glick,Dill Harris,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(2018_play),[6],https://en.wikipedia.org#cite_note-bertie-6,
2020,2020,/wiki/74th_Tony_Awards,False,John Benjamin Hickey,https://en.wikipedia.org/wiki/John_Benjamin_Hickey,Henry Wilcox,The Inheritance,https://en.wikipedia.org/wiki/The_Inheritance_(play),,,
2020,2020,/wiki/74th_Tony_Awards,False,Ato Blankson-Wood,,Gary,Slave Play,https://en.wikipedia.org/wiki/Slave_Play,,,
2020,2020,/wiki/74th_Tony_Awards,False,James Cusati-Moyer,,Dustin,Slave Play,,,,
2020,2020,/wiki/74th_Tony_Awards,False,David Alan Grier,https://en.wikipedia.org/wiki/David_Alan_Grier,Sergeant Vernon C. Waters,A Soldier's Play,https://en.wikipedia.org/wiki/A_Soldier%27s_Play,,,
2020,2020,/wiki/74th_Tony_Awards,False,Paul Hilton,https://en.wikipedia.org/wiki/Paul_Hilton_(British_actor),Walter Poole/Morgan,The Inheritance,,,,
