year,season,season_link,actor,actor_link,role,role_link,production,production_link,winner
1976,30th tony awards,/wiki/30th_Tony_Awards,Lois Nettleton,https://en.wikipedia.org/wiki/Lois_Nettleton,Amy,,They Knew What They Wanted,https://en.wikipedia.org/wiki/They_Knew_What_They_Wanted_(play),False
1976,30th tony awards,/wiki/30th_Tony_Awards,Mary Beth Hurt,https://en.wikipedia.org/wiki/Mary_Beth_Hurt,Rose Trewlawny,,Trelawny of the 'Wells',https://en.wikipedia.org/wiki/Trelawny_of_the_%27Wells%27,False
1976,30th tony awards,/wiki/30th_Tony_Awards,Shirley Knight,https://en.wikipedia.org/wiki/Shirley_Knight,Carla,,Kennedy's Children,https://en.wikipedia.org/wiki/Kennedy%27s_Children,True
1977,31st tony awards,/wiki/31st_Tony_Awards,Mary McCarty,https://en.wikipedia.org/wiki/Mary_McCarty_(actress),Marthy Owen,,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie,False
1977,31st tony awards,/wiki/31st_Tony_Awards,Rose Gregorio,https://en.wikipedia.org/wiki/Rose_Gregorio,Agnes,,The Shadow Box,,False
1977,31st tony awards,/wiki/31st_Tony_Awards,Patricia Elliott,https://en.wikipedia.org/wiki/Patricia_Elliott,Beverly,,The Shadow Box,https://en.wikipedia.org/wiki/The_Shadow_Box,False
1977,31st tony awards,/wiki/31st_Tony_Awards,Trazana Beverley,https://en.wikipedia.org/wiki/Trazana_Beverley,Lady in Red,,For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf,https://en.wikipedia.org/wiki/For_Colored_Girls_Who_Have_Considered_Suicide_When_the_Rainbow_Is_Enuf,True
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Swoosie Kurtz,https://en.wikipedia.org/wiki/Swoosie_Kurtz,Mariane,,Tartuffe,https://en.wikipedia.org/wiki/Tartuffe,False
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Starletta DuPois,,Rita,,The Mighty Gents,,False
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Marian Seldes,https://en.wikipedia.org/wiki/Marian_Seldes,Myra Bruhl,,Deathtrap,https://en.wikipedia.org/wiki/Deathtrap_(play),False
1978,32nd tony awards,/wiki/32nd_Tony_Awards,Ann Wedgeworth,https://en.wikipedia.org/wiki/Ann_Wedgeworth,Faye Medwick,,Chapter Two,https://en.wikipedia.org/wiki/Chapter_Two_(play),True
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Joan Hickson,https://en.wikipedia.org/wiki/Joan_Hickson,Delia,,Bedroom Farce,https://en.wikipedia.org/wiki/Bedroom_Farce_(play),True
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Laurie Kennedy,,Violet Robinson,,Man and Superman,https://en.wikipedia.org/wiki/Man_and_Superman,False
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Susan Littler,https://en.wikipedia.org/wiki/Susan_Littler,Kate,,Bedroom Farce,https://en.wikipedia.org/wiki/Bedroom_Farce_(play),False
1979,33rd tony awards,/wiki/33rd_Tony_Awards,Joan Negro,,Amy,,Wings,https://en.wikipedia.org/wiki/Wings_(play),False
1980,34th tony awards,/wiki/34th_Tony_Awards,Dinah Manoff,https://en.wikipedia.org/wiki/Dinah_Manoff,Libby Tucker,,I Ought to be in Pictures,https://en.wikipedia.org/wiki/I_Ought_to_be_in_Pictures,True
1980,34th tony awards,/wiki/34th_Tony_Awards,Maureen Anderman,https://en.wikipedia.org/wiki/Maureen_Anderman,Carol,,The Lady from Dubuque,https://en.wikipedia.org/wiki/The_Lady_from_Dubuque,False
1980,34th tony awards,/wiki/34th_Tony_Awards,Pamela Burrell,,Various Characters,,Strider,,False
1980,34th tony awards,/wiki/34th_Tony_Awards,Lois de Banzie,https://en.wikipedia.org/wiki/Lois_de_Banzie,Myrtle Brown,,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,False
1981,35th tony awards,/wiki/35th_Tony_Awards, Wanamaker,,Tione,,Piaf,https://en.wikipedia.org/wiki/Piaf_(play),False
1981,35th tony awards,/wiki/35th_Tony_Awards,Swoosie Kurtz,https://en.wikipedia.org/wiki/Swoosie_Kurtz,Gwen Landis,,Fifth of July,https://en.wikipedia.org/wiki/Fifth_of_July,True
1981,35th tony awards,/wiki/35th_Tony_Awards,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,Birdie Hubbard,,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,False
1981,35th tony awards,/wiki/35th_Tony_Awards,Jessica Tandy,https://en.wikipedia.org/wiki/Jessica_Tandy,Rose's mother,,Rose,,False
1982,36th tony awards,/wiki/36th_Tony_Awards,Judith Anderson,https://en.wikipedia.org/wiki/Judith_Anderson,The Nurse,,Medea,https://en.wikipedia.org/wiki/Medea_(play),False
1982,36th tony awards,/wiki/36th_Tony_Awards,Mia Dillon,https://en.wikipedia.org/wiki/Mia_Dillon,Babe MaGrath Botrelle,,Crimes of the Heart,https://en.wikipedia.org/wiki/Crimes_of_the_Heart,False
1982,36th tony awards,/wiki/36th_Tony_Awards,Amanda Plummer,https://en.wikipedia.org/wiki/Amanda_Plummer,Agnes,,Agnes of God,https://en.wikipedia.org/wiki/Agnes_of_God,True
1982,36th tony awards,/wiki/36th_Tony_Awards,Mary Beth Hurt,https://en.wikipedia.org/wiki/Mary_Beth_Hurt,Meg MaGrath,,Crimes of the Heart,,False
1983,37th tony awards,/wiki/37th_Tony_Awards,Elizabeth Franz,https://en.wikipedia.org/wiki/Elizabeth_Franz,Kate Jerome,,Brighton Beach Memoirs,https://en.wikipedia.org/wiki/Brighton_Beach_Memoirs,False
1983,37th tony awards,/wiki/37th_Tony_Awards,Roxanne Hart,https://en.wikipedia.org/wiki/Roxanne_Hart,Kate,,Passion,https://en.wikipedia.org/wiki/Passion_Play_(Nichols_play),False
1983,37th tony awards,/wiki/37th_Tony_Awards,Judith Ivey,https://en.wikipedia.org/wiki/Judith_Ivey,Josie,,Steaming,https://en.wikipedia.org/wiki/Steaming_(play),True
1983,37th tony awards,/wiki/37th_Tony_Awards,Margaret Tyzack,https://en.wikipedia.org/wiki/Margaret_Tyzack,Countess of Rossillion,,All's Well That Ends Well,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well,False
1984,38th tony awards,/wiki/38th_Tony_Awards,Deborah Rush,https://en.wikipedia.org/wiki/Deborah_Rush,Brooke Ashton,,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,False
1984,38th tony awards,/wiki/38th_Tony_Awards,Christine Baranski,https://en.wikipedia.org/wiki/Christine_Baranski,Charlotte,,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play),True
1984,38th tony awards,/wiki/38th_Tony_Awards,Jo Henderson,,Ruth MacMillan,,Play Memory,,False
1984,38th tony awards,/wiki/38th_Tony_Awards,Dana Ivey,https://en.wikipedia.org/wiki/Dana_Ivey,Lady Utterword,,Heartbreak House,https://en.wikipedia.org/wiki/Heartbreak_House,False
1985,39th tony awards,/wiki/39th_Tony_Awards,Joanna Gleason in A Day,,Pam,,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg,False
1985,39th tony awards,/wiki/39th_Tony_Awards,Theresa Merritt,https://en.wikipedia.org/wiki/Theresa_Merritt,Ma Rainey,https://en.wikipedia.org/wiki/Ma_Rainey,Ma Rainey's Black Bottom,https://en.wikipedia.org/wiki/Ma_Rainey%27s_Black_Bottom,False
1985,39th tony awards,/wiki/39th_Tony_Awards,Sigourney Weaver,https://en.wikipedia.org/wiki/Sigourney_Weaver,Darlene,,Hurlyburly,https://en.wikipedia.org/wiki/Hurlyburly,False
1985,39th tony awards,/wiki/39th_Tony_Awards,Judith Ivey,https://en.wikipedia.org/wiki/Judith_Ivey,Bonnie,,Hurlyburly,https://en.wikipedia.org/wiki/Hurlyburly,True
1986,40th tony awards,/wiki/40th_Tony_Awards,Bethel Leslie,https://en.wikipedia.org/wiki/Bethel_Leslie,Mary Tyrone,,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,False
1986,40th tony awards,/wiki/40th_Tony_Awards, Wanamaker,,Fay,,Loot,https://en.wikipedia.org/wiki/Loot_(play),False
1986,40th tony awards,/wiki/40th_Tony_Awards,Swoosie Kurtz,https://en.wikipedia.org/wiki/Swoosie_Kurtz,Bananas Shaughnessy,,The House of Blue Leaves,https://en.wikipedia.org/wiki/The_House_of_Blue_Leaves,True
1986,40th tony awards,/wiki/40th_Tony_Awards,Stockard Channing,https://en.wikipedia.org/wiki/Stockard_Channing,Bunny Flingus,,The House of Blue Leaves,https://en.wikipedia.org/wiki/The_House_of_Blue_Leaves,False
1987,41st tony awards,/wiki/41st_Tony_Awards,Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,Holly Dancer,,Coastal Disturbances,https://en.wikipedia.org/wiki/Coastal_Disturbances,False
1987,41st tony awards,/wiki/41st_Tony_Awards,Phyllis Newman,https://en.wikipedia.org/wiki/Phyllis_Newman,Blanche Morton,,Broadway Bound,https://en.wikipedia.org/wiki/Broadway_Bound,False
1987,41st tony awards,/wiki/41st_Tony_Awards,Mary Alice,https://en.wikipedia.org/wiki/Mary_Alice,Rose Maxson,,Fences,https://en.wikipedia.org/wiki/Fences_(play),True
1987,41st tony awards,/wiki/41st_Tony_Awards,Carole Shelley,https://en.wikipedia.org/wiki/Carole_Shelley,Maxine,,Stepping Out,https://en.wikipedia.org/wiki/Stepping_Out_(play),False
1988,42nd tony awards,/wiki/42nd_Tony_Awards,Kate Nelligan,https://en.wikipedia.org/wiki/Kate_Nelligan,Various Characters,,Serious Money,https://en.wikipedia.org/wiki/Serious_Money,False
1988,42nd tony awards,/wiki/42nd_Tony_Awards,Kimberleigh Aarn,,Mattie Cambell,,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone,False
1988,42nd tony awards,/wiki/42nd_Tony_Awards,L. Scott Caldwell,https://en.wikipedia.org/wiki/L._Scott_Caldwell,Bertha Holly,,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone,True
1988,42nd tony awards,/wiki/42nd_Tony_Awards,Kimberly Scott,https://en.wikipedia.org/wiki/Kimberly_Scott,Molly Cunningham,,Joe Turner's Come and Gone,,False
1989,43rd tony awards,/wiki/43rd_Tony_Awards,Christine Baranski,https://en.wikipedia.org/wiki/Christine_Baranski,Chris Gorman,,Rumors,https://en.wikipedia.org/wiki/Rumors,True
1989,43rd tony awards,/wiki/43rd_Tony_Awards,Joanne Camp,,Various Characters,,The Heidi Chronicles,https://en.wikipedia.org/wiki/The_Heidi_Chronicles,False
1989,43rd tony awards,/wiki/43rd_Tony_Awards,Tovah Feldshuh,https://en.wikipedia.org/wiki/Tovah_Feldshuh,Maria Merelli,,Lend Me a Tenor,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor,False
1989,43rd tony awards,/wiki/43rd_Tony_Awards,Penelope Ann Miller,https://en.wikipedia.org/wiki/Penelope_Ann_Miller,Emily Webb,,Our Town,https://en.wikipedia.org/wiki/Our_Town,False
1990,44th tony awards,/wiki/44th_Tony_Awards,Margaret Tyzack,https://en.wikipedia.org/wiki/Margaret_Tyzack,Lotte Schoen,,Lettice and Lovage,https://en.wikipedia.org/wiki/Lettice_and_Lovage,True
1990,44th tony awards,/wiki/44th_Tony_Awards,Lois Smith,https://en.wikipedia.org/wiki/Lois_Smith,Ma Joad,,The Grapes of Wrath,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(play),False
1990,44th tony awards,/wiki/44th_Tony_Awards, Epatha Merkerson,,Berniece,,The Piano Lesson,https://en.wikipedia.org/wiki/The_Piano_Lesson,False
1990,44th tony awards,/wiki/44th_Tony_Awards,Polly Holliday,https://en.wikipedia.org/wiki/Polly_Holliday,Big Mama Polllitt,,Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof,False
1991,45th tony awards,/wiki/45th_Tony_Awards,Cameron,,Various Characters,,Our Country's Good,,False
1991,45th tony awards,/wiki/45th_Tony_Awards,Amelia Campbell,https://en.wikipedia.org/wiki/Amelia_Campbell,Various Characters,,Our Country's Good,https://en.wikipedia.org/wiki/Our_Country%27s_Good,False
1991,45th tony awards,/wiki/45th_Tony_Awards,Kathryn Erbe,https://en.wikipedia.org/wiki/Kathryn_Erbe,Mary,,The Speed of Darkness,https://en.wikipedia.org/wiki/The_Speed_of_Darkness_(play),False
1991,45th tony awards,/wiki/45th_Tony_Awards,Irene Worth,https://en.wikipedia.org/wiki/Irene_Worth,Grandma Kurnitz,,Lost in Yonkers,https://en.wikipedia.org/wiki/Lost_in_Yonkers,True
1992,46th tony awards,/wiki/46th_Tony_Awards,Brid Brennan,https://en.wikipedia.org/wiki/Brid_Brennan,Agnes,,Dancing at Lughnasa,https://en.wikipedia.org/wiki/Dancing_at_Lughnasa,True
1992,46th tony awards,/wiki/46th_Tony_Awards,Rosaleen Linehan,https://en.wikipedia.org/wiki/Rosaleen_Linehan,Kate Mundy,,Dancing at Lughnasa,https://en.wikipedia.org/wiki/Dancing_at_Lughnasa,False
1992,46th tony awards,/wiki/46th_Tony_Awards,Cynthia Martells,,Risa,,Two Trains Running,https://en.wikipedia.org/wiki/Two_Trains_Running,False
1992,46th tony awards,/wiki/46th_Tony_Awards,Dearbhla Molloy,https://en.wikipedia.org/wiki/Dearbhla_Molloy,Maggie Mundy,,Dancing at Lughnasa,,False
1993,47th tony awards,/wiki/47th_Tony_Awards,Anne Meara,https://en.wikipedia.org/wiki/Anne_Meara,Marthy Owen,,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie,False
1993,47th tony awards,/wiki/47th_Tony_Awards,Debra Monk,https://en.wikipedia.org/wiki/Debra_Monk,Geneva,,Redwood Curtain,https://en.wikipedia.org/wiki/Redwood_Curtain,True
1993,47th tony awards,/wiki/47th_Tony_Awards,Kathleen Chalfant in Angels,,Various Characters,,Angels in America: Millennium Approaches,https://en.wikipedia.org/wiki/Angels_in_America:_Millennium_Approaches,False
1993,47th tony awards,/wiki/47th_Tony_Awards,Marcia Gay Harden in Angels,,Various Characters,,Angels in America: Millennium Approaches,,False
1994,48th tony awards,/wiki/48th_Tony_Awards,Anne Pitoniak,https://en.wikipedia.org/wiki/Anne_Pitoniak,Helen Potts,,Picnic,,False
1994,48th tony awards,/wiki/48th_Tony_Awards,Jeanne Paulsen,https://en.wikipedia.org/wiki/Jeanne_Paulsen,Various Characters,,The Kentucky Cycle,https://en.wikipedia.org/wiki/The_Kentucky_Cycle,False
1994,48th tony awards,/wiki/48th_Tony_Awards,Jane Adams,https://en.wikipedia.org/wiki/Jane_Adams_(actress),Sheila Birling,,An Inspector Calls,https://en.wikipedia.org/wiki/An_Inspector_Calls,True
1994,48th tony awards,/wiki/48th_Tony_Awards,Debra Monk,https://en.wikipedia.org/wiki/Debra_Monk,Rosemary Sydney,,Picnic,https://en.wikipedia.org/wiki/Picnic_(play),False
1995,49th tony awards,/wiki/49th_Tony_Awards,Frances Sternhagen,https://en.wikipedia.org/wiki/Frances_Sternhagen,Lavinia Penniman,,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play),True
1995,49th tony awards,/wiki/49th_Tony_Awards,Cynthia Nixon,https://en.wikipedia.org/wiki/Cynthia_Nixon,Madeleine Ozeray,https://en.wikipedia.org/wiki/Madeleine_Ozeray,Indiscretions,https://en.wikipedia.org/wiki/Les_Parents_terribles,False
1995,49th tony awards,/wiki/49th_Tony_Awards,Mercedes Ruehl,https://en.wikipedia.org/wiki/Mercedes_Ruehl,Beverly,,The Shadow Box,https://en.wikipedia.org/wiki/The_Shadow_Box,False
1995,49th tony awards,/wiki/49th_Tony_Awards,Suzanne Bertish,https://en.wikipedia.org/wiki/Suzanne_Bertish,Lisette,,The Molière Comedies,,False
1996,50th tony awards,/wiki/50th_Tony_Awards,Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,Vera,,Seven Guitars,https://en.wikipedia.org/wiki/Seven_Guitars,False
1996,50th tony awards,/wiki/50th_Tony_Awards,Lois Smith,https://en.wikipedia.org/wiki/Lois_Smith,Hallie,,Buried Child,https://en.wikipedia.org/wiki/Buried_Child,False
1996,50th tony awards,/wiki/50th_Tony_Awards,Michele Shay,,Louise,,Seven Guitars,,False
1996,50th tony awards,/wiki/50th_Tony_Awards,Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,Sharon Graham,,Master Class,https://en.wikipedia.org/wiki/Master_Class,True
1997,51st tony awards,/wiki/51st_Tony_Awards,Lynne Thigpen,https://en.wikipedia.org/wiki/Lynne_Thigpen,Dr. Judith B. Kaufman,,An American Daughter,https://en.wikipedia.org/wiki/An_American_Daughter,True
1997,51st tony awards,/wiki/51st_Tony_Awards,Dana Ivey,https://en.wikipedia.org/wiki/Dana_Ivey,Boo Levy,,The Last Night of Ballyhoo,https://en.wikipedia.org/wiki/The_Last_Night_of_Ballyhoo,False
1997,51st tony awards,/wiki/51st_Tony_Awards,Celia Weston,https://en.wikipedia.org/wiki/Celia_Weston,Reba Freitag,,The Last Night of Ballyhoo,,False
1997,51st tony awards,/wiki/51st_Tony_Awards,Helen Carey,,Lady Gay Spanker,,London Assurance,https://en.wikipedia.org/wiki/London_Assurance,False
1998,52nd tony awards,/wiki/52nd_Tony_Awards,Anna Manahan,https://en.wikipedia.org/wiki/Anna_Manahan,Mags Folan,,The Beauty Queen of Leenane,https://en.wikipedia.org/wiki/The_Beauty_Queen_of_Leenane,True
1998,52nd tony awards,/wiki/52nd_Tony_Awards,Enid Graham,,Sophie,,Honour,https://en.wikipedia.org/wiki/Honour_(Murray-Smith_play),False
1998,52nd tony awards,/wiki/52nd_Tony_Awards,Linda Lavin,https://en.wikipedia.org/wiki/Linda_Lavin,Petronella van Daan,,The Diary of Anne Frank,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play),False
1998,52nd tony awards,/wiki/52nd_Tony_Awards,Julyana Soelistyo,https://en.wikipedia.org/wiki/Julyana_Soelistyo,Eng Ahn,,Golden Child,https://en.wikipedia.org/wiki/Golden_Child_(play),False
1999,53rd tony awards,/wiki/53rd_Tony_Awards,Elizabeth Franz,https://en.wikipedia.org/wiki/Elizabeth_Franz,Linda Loman,,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman,True
1999,53rd tony awards,/wiki/53rd_Tony_Awards,Dawn Bradfield,,Girleen Kelleher,,The Lonesome West,https://en.wikipedia.org/wiki/The_Lonesome_West,False
1999,53rd tony awards,/wiki/53rd_Tony_Awards,Samantha Bond,https://en.wikipedia.org/wiki/Samantha_Bond,Amy Thomas,,Amy's View,https://en.wikipedia.org/wiki/Amy%27s_View,False
1999,53rd tony awards,/wiki/53rd_Tony_Awards,Claire Bloom,https://en.wikipedia.org/wiki/Claire_Bloom,Clytemnestra,https://en.wikipedia.org/wiki/Clytemnestra,Electra,https://en.wikipedia.org/wiki/Electra_(Sophocles),False
2000,54th tony awards,/wiki/54th_Tony_Awards,Frances Conroy,https://en.wikipedia.org/wiki/Frances_Conroy,Theo,,The Ride Down Mt. Morgan,https://en.wikipedia.org/wiki/The_Ride_Down_Mt._Morgan,False
2000,54th tony awards,/wiki/54th_Tony_Awards,Helen Stenborg in Waiting,,Sarita Myrtle,,Waiting in the Wings,https://en.wikipedia.org/wiki/Waiting_in_the_Wings_(play),False
2000,54th tony awards,/wiki/54th_Tony_Awards,Sarah Woodward,https://en.wikipedia.org/wiki/Sarah_Woodward,Charlotte,,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play),False
2000,54th tony awards,/wiki/54th_Tony_Awards,Blair Brown,https://en.wikipedia.org/wiki/Blair_Brown,Margrethe Bohr,,Copenhagen,https://en.wikipedia.org/wiki/Copenhagen_(play),True
2000,54th tony awards,/wiki/54th_Tony_Awards,Amy Ryan,https://en.wikipedia.org/wiki/Amy_Ryan,Sonya Serebryakova,,Uncle Vanya,https://en.wikipedia.org/wiki/Uncle_Vanya,False
2001,55th tony awards,/wiki/55th_Tony_Awards,Johanna Day,https://en.wikipedia.org/wiki/Johanna_Day,Claire,,Proof,https://en.wikipedia.org/wiki/Proof_(play),False
