year,season,season_link,actor,actor_link,role,role_link,production,production_link,winner
2001,55th tony awards,/wiki/55th_Tony_Awards,Michele Lee,https://en.wikipedia.org/wiki/Michele_Lee,Lee Green,,The Tale of the Allergist's Wife,https://en.wikipedia.org/wiki/The_Tale_of_the_Allergist%27s_Wife,False
2001,55th tony awards,/wiki/55th_Tony_Awards,Marthe Keller,https://en.wikipedia.org/wiki/Marthe_Keller,Mme. Bertholt,,Judgment at Nuremberg,https://en.wikipedia.org/wiki/Judgment_at_Nuremberg,False
2001,55th tony awards,/wiki/55th_Tony_Awards,Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,Tonya,,King Hedley II,https://en.wikipedia.org/wiki/King_Hedley_II,True
2001,55th tony awards,/wiki/55th_Tony_Awards,Penny Fuller,https://en.wikipedia.org/wiki/Penny_Fuller,Gabrielle Buonocelli,,The Dinner Party,https://en.wikipedia.org/wiki/The_Dinner_Party_(play),False
2002,56th tony awards,/wiki/56th_Tony_Awards,Estelle Parsons,https://en.wikipedia.org/wiki/Estelle_Parsons,Cora Swanson,,Morning's at Seven,,False
2002,56th tony awards,/wiki/56th_Tony_Awards,Katie Finneran,https://en.wikipedia.org/wiki/Katie_Finneran,Brooke Ashton,,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,True
2002,56th tony awards,/wiki/56th_Tony_Awards,Frances Sternhagen,https://en.wikipedia.org/wiki/Frances_Sternhagen,Ida Bolton,,Morning's at Seven,,False
2002,56th tony awards,/wiki/56th_Tony_Awards,Kate Burton,https://en.wikipedia.org/wiki/Kate_Burton_(actress),Madge Kendal,https://en.wikipedia.org/wiki/Madge_Kendal,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),False
2002,56th tony awards,/wiki/56th_Tony_Awards,Elizabeth Franz,https://en.wikipedia.org/wiki/Elizabeth_Franz,Aaronetta Gibbs,,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,False
2003,57th tony awards,/wiki/57th_Tony_Awards,Kathryn Meisle,,Elmire,,Tartuffe,https://en.wikipedia.org/wiki/Tartuffe,False
2003,57th tony awards,/wiki/57th_Tony_Awards,Marian Seldes,https://en.wikipedia.org/wiki/Marian_Seldes,Carlotta Vance,,Dinner at Eight,,False
2003,57th tony awards,/wiki/57th_Tony_Awards,Christine Ebersole,https://en.wikipedia.org/wiki/Christine_Ebersole,Millicent Jordan,,Dinner at Eight,https://en.wikipedia.org/wiki/Dinner_at_Eight_(play),False
2003,57th tony awards,/wiki/57th_Tony_Awards,Michele Pawk,https://en.wikipedia.org/wiki/Michele_Pawk,Louise,,Hollywood Arms,https://en.wikipedia.org/wiki/Hollywood_Arms,True
2003,57th tony awards,/wiki/57th_Tony_Awards,Linda Emond,https://en.wikipedia.org/wiki/Linda_Emond,Inez,,Life x 3,https://en.wikipedia.org/wiki/Life_x_3,False
2004,58th tony awards,/wiki/58th_Tony_Awards,Essie Davis,https://en.wikipedia.org/wiki/Essie_Davis,Dotty,,Jumpers,https://en.wikipedia.org/wiki/Jumpers_(play),False
2004,58th tony awards,/wiki/58th_Tony_Awards,Sanaa Lathan in A Raisin,,Beneatha Younger,,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,False
2004,58th tony awards,/wiki/58th_Tony_Awards,Vega in Anna,,Conchita,,Anna in the Tropics,https://en.wikipedia.org/wiki/Anna_in_the_Tropics,False
2004,58th tony awards,/wiki/58th_Tony_Awards,Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,Ruth Younger,,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,True
2004,58th tony awards,/wiki/58th_Tony_Awards,Margo Martindale,https://en.wikipedia.org/wiki/Margo_Martindale,Big Momma Pollitt,,Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof,False
2005,59th tony awards,/wiki/59th_Tony_Awards,Mireille Enos,https://en.wikipedia.org/wiki/Mireille_Enos,Honey,,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,False
2005,59th tony awards,/wiki/59th_Tony_Awards,Dana Ivey,https://en.wikipedia.org/wiki/Dana_Ivey,Mrs. Malaprop,,The Rivals,https://en.wikipedia.org/wiki/The_Rivals,False
2005,59th tony awards,/wiki/59th_Tony_Awards,Amy Ryan,https://en.wikipedia.org/wiki/Amy_Ryan,Stella Kowalski,https://en.wikipedia.org/wiki/Stella_Kowalski,A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(play),False
2005,59th tony awards,/wiki/59th_Tony_Awards,Heather Goldenhersh,https://en.wikipedia.org/wiki/Heather_Goldenhersh,Sister James,,Doubt: A Parable,https://en.wikipedia.org/wiki/Doubt:_A_Parable,False
2005,59th tony awards,/wiki/59th_Tony_Awards,Adriane Lenox,https://en.wikipedia.org/wiki/Adriane_Lenox,Mrs. Muller,,Doubt: A Parable,https://en.wikipedia.org/wiki/Doubt:_A_Parable,True
2006,60th tony awards,/wiki/60th_Tony_Awards, Wanamaker,,Bessie Berger,,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!,False
2006,60th tony awards,/wiki/60th_Tony_Awards,Alison Pill,https://en.wikipedia.org/wiki/Alison_Pill,Mairead,,The Lieutenant of Inishmore,https://en.wikipedia.org/wiki/The_Lieutenant_of_Inishmore,False
2006,60th tony awards,/wiki/60th_Tony_Awards,Jayne Houdyshell,https://en.wikipedia.org/wiki/Jayne_Houdyshell,Ann Kron,,Well,https://en.wikipedia.org/wiki/Well_(play),False
2006,60th tony awards,/wiki/60th_Tony_Awards,Tyne Daly,https://en.wikipedia.org/wiki/Tyne_Daly,Nat,,Rabbit Hole,https://en.wikipedia.org/wiki/Rabbit_Hole,False
2006,60th tony awards,/wiki/60th_Tony_Awards,Frances de la Tour,https://en.wikipedia.org/wiki/Frances_de_la_Tour,Mrs. Lintott,,The History Boys,https://en.wikipedia.org/wiki/The_History_Boys,True
2007,61st tony awards,/wiki/61st_Tony_Awards,Martha Plimpton,https://en.wikipedia.org/wiki/Martha_Plimpton,Various Characters,,The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia,False
2007,61st tony awards,/wiki/61st_Tony_Awards,Dana Ivey,https://en.wikipedia.org/wiki/Dana_Ivey,Edna Shaft,,Butley,https://en.wikipedia.org/wiki/Butley_(play),False
2007,61st tony awards,/wiki/61st_Tony_Awards,Xanthe Elbrick,https://en.wikipedia.org/wiki/Xanthe_Elbrick,Various Characters,,Coram Boy,https://en.wikipedia.org/wiki/Coram_Boy_(play),False
2007,61st tony awards,/wiki/61st_Tony_Awards,Jennifer Ehle,https://en.wikipedia.org/wiki/Jennifer_Ehle,Multiple[d],https://en.wikipedia.org#cite_note-72,The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia,True
2007,61st tony awards,/wiki/61st_Tony_Awards,Jan Maxwell,https://en.wikipedia.org/wiki/Jan_Maxwell,Various Characters,,Coram Boy,,False
2008,62nd tony awards,/wiki/62nd_Tony_Awards,ad Cusack,,Eleanor,,Rock 'n' Roll,https://en.wikipedia.org/wiki/Rock_%27n%27_Roll_(play),False
2008,62nd tony awards,/wiki/62nd_Tony_Awards,Rondi Reed,https://en.wikipedia.org/wiki/Rondi_Reed,Mattie Fae Aiken,,August: Osage County,https://en.wikipedia.org/wiki/August:_Osage_County,True
2008,62nd tony awards,/wiki/62nd_Tony_Awards,Mary McCormack,https://en.wikipedia.org/wiki/Mary_McCormack,Gretchen,,Boeing-Boeing,https://en.wikipedia.org/wiki/Boeing-Boeing_(play),False
2008,62nd tony awards,/wiki/62nd_Tony_Awards,Laurie Metcalf,https://en.wikipedia.org/wiki/Laurie_Metcalf,Clarice Bernstein,,November,https://en.wikipedia.org/wiki/November_(play),False
2008,62nd tony awards,/wiki/62nd_Tony_Awards,Martha Plimpton,https://en.wikipedia.org/wiki/Martha_Plimpton,Angie,,Top Girls,https://en.wikipedia.org/wiki/Top_Girls,False
2009,63rd tony awards,/wiki/63rd_Tony_Awards,Hallie Foote,https://en.wikipedia.org/wiki/Hallie_Foote,Mary Jo Gordon,,Dividing the Estate,https://en.wikipedia.org/wiki/Dividing_the_Estate,False
2009,63rd tony awards,/wiki/63rd_Tony_Awards,Jessica Hynes,https://en.wikipedia.org/wiki/Jessica_Hynes,Annie,,The Norman Conquests,https://en.wikipedia.org/wiki/The_Norman_Conquests,False
2009,63rd tony awards,/wiki/63rd_Tony_Awards,Marin Ireland,https://en.wikipedia.org/wiki/Marin_Ireland,Steph,,reasons to be pretty,https://en.wikipedia.org/wiki/Reasons_to_be_pretty,False
2009,63rd tony awards,/wiki/63rd_Tony_Awards,Amanda Root,https://en.wikipedia.org/wiki/Amanda_Root,Sarah,,The Norman Conquests,,False
2009,63rd tony awards,/wiki/63rd_Tony_Awards,Angela Lansbury,https://en.wikipedia.org/wiki/Angela_Lansbury,Madame Arcati,,Blithe Spirit,https://en.wikipedia.org/wiki/Blithe_Spirit_(play),True
2010,64th tony awards,/wiki/64th_Tony_Awards,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,Fanny Cavendish,,The Royal Family,https://en.wikipedia.org/wiki/The_Royal_Family_(play),False
2010,64th tony awards,/wiki/64th_Tony_Awards,Jan Maxwell,https://en.wikipedia.org/wiki/Jan_Maxwell,Maria Merelli,,Lend Me a Tenor,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor,False
2010,64th tony awards,/wiki/64th_Tony_Awards,Jessica Hecht,https://en.wikipedia.org/wiki/Jessica_Hecht,Beatrice Carbone,,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge,False
2010,64th tony awards,/wiki/64th_Tony_Awards,Maria Dizzia,https://en.wikipedia.org/wiki/Maria_Dizzia,Mrs. Daldry,,In the Next Room (or The Vibrator Play),https://en.wikipedia.org/wiki/In_the_Next_Room_(or_The_Vibrator_Play),False
2010,64th tony awards,/wiki/64th_Tony_Awards,Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,Catherine,,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge,True
2011,65th tony awards,/wiki/65th_Tony_Awards,Ellen Barkin,https://en.wikipedia.org/wiki/Ellen_Barkin,Dr. Emma Brookner,,The Normal Heart,https://en.wikipedia.org/wiki/The_Normal_Heart,True
2011,65th tony awards,/wiki/65th_Tony_Awards,Elizabeth Rodriguez,https://en.wikipedia.org/wiki/Elizabeth_Rodriguez,Veronica,,The Motherfucker with the Hat,https://en.wikipedia.org/wiki/The_Motherfucker_with_the_Hat,False
2011,65th tony awards,/wiki/65th_Tony_Awards,Edie Falco,https://en.wikipedia.org/wiki/Edie_Falco,Bananas Shaughnessy,,The House of Blue Leaves,https://en.wikipedia.org/wiki/The_House_of_Blue_Leaves,False
2011,65th tony awards,/wiki/65th_Tony_Awards,Judith Light,https://en.wikipedia.org/wiki/Judith_Light,Marie Lombardi,https://en.wikipedia.org/wiki/Vince_Lombardi,Lombardi,https://en.wikipedia.org/wiki/Lombardi_(play),False
2011,65th tony awards,/wiki/65th_Tony_Awards,Joanna Lumley,https://en.wikipedia.org/wiki/Joanna_Lumley,The Princess,,La Bête,https://en.wikipedia.org/wiki/La_B%C3%AAte_(play),False
2012,66th tony awards,/wiki/66th_Tony_Awards,Judith Light,https://en.wikipedia.org/wiki/Judith_Light,Silda Grauman,,Other Desert Cities,https://en.wikipedia.org/wiki/Other_Desert_Cities,True
2012,66th tony awards,/wiki/66th_Tony_Awards,d,,Cheryl,,Stick Fly,https://en.wikipedia.org/wiki/Stick_Fly,False
2012,66th tony awards,/wiki/66th_Tony_Awards,Bolger,,Molly Aster,,Peter and the Starcatcher,https://en.wikipedia.org/wiki/Peter_and_the_Starcatcher_(play),False
2012,66th tony awards,/wiki/66th_Tony_Awards,Spencer Kayden,https://en.wikipedia.org/wiki/Spencer_Kayden,Suzette,,Don't Dress for Dinner,https://en.wikipedia.org/wiki/Don%27t_Dress_for_Dinner,False
2012,66th tony awards,/wiki/66th_Tony_Awards,Linda Emond,https://en.wikipedia.org/wiki/Linda_Emond,Linda Loman,,Arthur Miller's Death of a Salesman,,False
2013,67th tony awards,/wiki/67th_Tony_Awards,Condola Rashad,https://en.wikipedia.org/wiki/Condola_Rashad,Thelma,,The Trip to Bountiful,https://en.wikipedia.org/wiki/The_Trip_to_Bountiful_(play),False
2013,67th tony awards,/wiki/67th_Tony_Awards,Judith Ivey,https://en.wikipedia.org/wiki/Judith_Ivey,Lavinia Penniman,,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play),False
2013,67th tony awards,/wiki/67th_Tony_Awards,Carrie Coon,https://en.wikipedia.org/wiki/Carrie_Coon,Honey,,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,False
2013,67th tony awards,/wiki/67th_Tony_Awards,Shalita Grant,https://en.wikipedia.org/wiki/Shalita_Grant,Cassandra,,Vanya and Sonia and Masha and Spike,https://en.wikipedia.org/wiki/Vanya_and_Sonia_and_Masha_and_Spike,False
2013,67th tony awards,/wiki/67th_Tony_Awards,Judith Light,https://en.wikipedia.org/wiki/Judith_Light,Faye,,The Assembled Parties,https://en.wikipedia.org/wiki/The_Assembled_Parties,True
2014,68th tony awards,/wiki/68th_Tony_Awards,Anika Noni Rose in A Raisin,,Beneatha Younger,,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,False
2014,68th tony awards,/wiki/68th_Tony_Awards,Mare Winningham,https://en.wikipedia.org/wiki/Mare_Winningham,Rita,,Casa Valentina,https://en.wikipedia.org/wiki/Casa_Valentina,False
2014,68th tony awards,/wiki/68th_Tony_Awards,Bolger,,Laura Wingfield,,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie,False
2014,68th tony awards,/wiki/68th_Tony_Awards,Sophie Okonedo,https://en.wikipedia.org/wiki/Sophie_Okonedo,Ruth Younger,,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,True
2014,68th tony awards,/wiki/68th_Tony_Awards,Sarah Greene,https://en.wikipedia.org/wiki/Sarah_Greene_(actress),Helen McCormack,,The Cripple of Inishmaan,https://en.wikipedia.org/wiki/The_Cripple_of_Inishmaan,False
2015,69th tony awards,/wiki/69th_Tony_Awards,Julie White,https://en.wikipedia.org/wiki/Julie_White,Tanya,,Airline Highway,https://en.wikipedia.org/wiki/Airline_Highway_(play),False
2015,69th tony awards,/wiki/69th_Tony_Awards,Sarah Stiles,https://en.wikipedia.org/wiki/Sarah_Stiles,Jessica,,Hand to God,https://en.wikipedia.org/wiki/Hand_to_God_(play),False
2015,69th tony awards,/wiki/69th_Tony_Awards,Lydia Leonard,https://en.wikipedia.org/wiki/Lydia_Leonard,Anne Boleyn,https://en.wikipedia.org/wiki/Anne_Boleyn,Wolf Hall Parts One & Two,https://en.wikipedia.org/wiki/Wolf_Hall_Parts_One_%26_Two,False
2015,69th tony awards,/wiki/69th_Tony_Awards,Patricia Clarkson,https://en.wikipedia.org/wiki/Patricia_Clarkson,Madge Kendal,https://en.wikipedia.org/wiki/Madge_Kendal,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),False
2015,69th tony awards,/wiki/69th_Tony_Awards,Annaleigh Ashford,https://en.wikipedia.org/wiki/Annaleigh_Ashford,Essie Carmichael,,You Can't Take It with You,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(play),True
2016,70th tony awards,/wiki/70th_Tony_Awards,Saycon Sengbloh,https://en.wikipedia.org/wiki/Saycon_Sengbloh,Helena,,Eclipsed,https://en.wikipedia.org/wiki/Eclipsed_(play),False
2016,70th tony awards,/wiki/70th_Tony_Awards,Jayne Houdyshell,https://en.wikipedia.org/wiki/Jayne_Houdyshell,Deirdre Blake,,The Humans,https://en.wikipedia.org/wiki/The_Humans_(play),True
2016,70th tony awards,/wiki/70th_Tony_Awards,Pascale Armand,,Bessie,,Eclipsed,https://en.wikipedia.org/wiki/Eclipsed_(play),False
2016,70th tony awards,/wiki/70th_Tony_Awards,Megan Hilty,https://en.wikipedia.org/wiki/Megan_Hilty,Brooke Ashton,,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,False
2016,70th tony awards,/wiki/70th_Tony_Awards,Andrea Martin,https://en.wikipedia.org/wiki/Andrea_Martin,Dotty Otley,,Noises Off,,False
2017,71st tony awards,/wiki/71st_Tony_Awards,d,,Emmy Helmer,,"A Doll's House, Part 2",,False
2017,71st tony awards,/wiki/71st_Tony_Awards,Cynthia Nixon,https://en.wikipedia.org/wiki/Cynthia_Nixon,Birdie Hubbard,,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,True
2017,71st tony awards,/wiki/71st_Tony_Awards,Michelle Wilson,,Cynthia,,Sweat,https://en.wikipedia.org/wiki/Sweat_(play),False
2017,71st tony awards,/wiki/71st_Tony_Awards,Jayne Houdyshell,https://en.wikipedia.org/wiki/Jayne_Houdyshell,Anne Marie,,"A Doll's House, Part 2","https://en.wikipedia.org/wiki/A_Doll%27s_House,_Part_2",False
2017,71st tony awards,/wiki/71st_Tony_Awards,Johanna Day,https://en.wikipedia.org/wiki/Johanna_Day,Tracey,,Sweat,https://en.wikipedia.org/wiki/Sweat_(play),False
2018,72nd tony awards,/wiki/72nd_Tony_Awards,Laurie Metcalf,https://en.wikipedia.org/wiki/Laurie_Metcalf,B,,Three Tall Women,https://en.wikipedia.org/wiki/Three_Tall_Women,True
2018,72nd tony awards,/wiki/72nd_Tony_Awards,Denise Gough in Angels,,"Harper Pitt, et al.",,Angels in America,,False
2018,72nd tony awards,/wiki/72nd_Tony_Awards,Susan Brown in Angels,,"Hannah Pitt, et al.",,Angels in America,https://en.wikipedia.org/wiki/Angels_in_America,False
2018,72nd tony awards,/wiki/72nd_Tony_Awards,Deborah Findlay,https://en.wikipedia.org/wiki/Deborah_Findlay,Hazel,,The Children,https://en.wikipedia.org/wiki/The_Children_(play),False
2018,72nd tony awards,/wiki/72nd_Tony_Awards,Noma Dumezweni,https://en.wikipedia.org/wiki/Noma_Dumezweni,Hermione Granger,https://en.wikipedia.org/wiki/Hermione_Granger,Harry Potter and the Cursed Child,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child,False
2019,73rd tony awards,/wiki/73rd_Tony_Awards,Julie White,https://en.wikipedia.org/wiki/Julie_White,Carol,,Gary: A Sequel to Titus Andronicus,,False
2019,73rd tony awards,/wiki/73rd_Tony_Awards,Ruth Wilson,https://en.wikipedia.org/wiki/Ruth_Wilson,Cordelia/Fool,,King Lear,https://en.wikipedia.org/wiki/King_Lear,False
2019,73rd tony awards,/wiki/73rd_Tony_Awards,Kristine Nielsen,https://en.wikipedia.org/wiki/Kristine_Nielsen,Janice,,Gary: A Sequel to Titus Andronicus,https://en.wikipedia.org/wiki/Gary:_A_Sequel_to_Titus_Andronicus,False
2019,73rd tony awards,/wiki/73rd_Tony_Awards,Celia Keenan-Bolger,https://en.wikipedia.org/wiki/Celia_Keenan-Bolger,Scout Finch,https://en.wikipedia.org/wiki/List_of_To_Kill_a_Mockingbird_characters#Scout_Finch,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(2018_play),True
2019,73rd tony awards,/wiki/73rd_Tony_Awards,Fionnula Flanagan,https://en.wikipedia.org/wiki/Fionnula_Flanagan,Aunt Maggie Far Away,,The Ferryman,https://en.wikipedia.org/wiki/The_Ferryman_(play),False
2020,74th tony awards,/wiki/74th_Tony_Awards,TBA,https://en.wikipedia.org/wiki/TBA,TBA,https://en.wikipedia.org/wiki/TBA,TBA,https://en.wikipedia.org/wiki/TBA,True
2020,74th tony awards,/wiki/74th_Tony_Awards,Lois Smith,https://en.wikipedia.org/wiki/Lois_Smith,Margaret,,The Inheritance,https://en.wikipedia.org/wiki/The_Inheritance_(play),False
2020,74th tony awards,/wiki/74th_Tony_Awards,Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,Nancy,,Grand Horizons,,False
2020,74th tony awards,/wiki/74th_Tony_Awards,Chalia La Tour,,Teá,,Slave Play,https://en.wikipedia.org/wiki/Slave_Play,False
2020,74th tony awards,/wiki/74th_Tony_Awards,Annie McNamara,,Alana,,Slave Play,,False
2020,74th tony awards,/wiki/74th_Tony_Awards,Cora Vander Broek,https://en.wikipedia.org/wiki/Cora_Vander_Broek,Jules,,Linda Vista,,False
