year,season,season_link,winner,play,play_link,author,author_link
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,An Inspector Calls,https://en.wikipedia.org/wiki/An_Inspector_Calls,J. B. Priestley,https://en.wikipedia.org/wiki/J._B._Priestley
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Abe Lincoln in Illinois,https://en.wikipedia.org/wiki/Abe_Lincoln_in_Illinois_(play),Robert E. Sherwood,https://en.wikipedia.org/wiki/Robert_E._Sherwood
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Medea,https://en.wikipedia.org/wiki/Medea_(play),Euripides,https://en.wikipedia.org/wiki/Euripides
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Timon of Athens,https://en.wikipedia.org/wiki/Timon_of_Athens,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play),Augustus Goetz andRuth Goetz,https://en.wikipedia.org/wiki/Ruth_Goetz
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Hamlet,https://en.wikipedia.org/wiki/Hamlet,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,The Molière Comedies,https://en.wikipedia.org/wiki/Moli%C3%A8re,Molière,https://en.wikipedia.org/wiki/Moli%C3%A8re
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo,Tennessee Williams,https://en.wikipedia.org/wiki/Tennessee_Williams
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play),Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,A Midsummer Night's Dream,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play),Jerome LawrenceandRobert E. Lee,https://en.wikipedia.org/wiki/Jerome_Lawrence
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,The Gin Game,https://en.wikipedia.org/wiki/The_Gin_Game,Donald L. Coburn,https://en.wikipedia.org/wiki/Donald_L._Coburn
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Present Laughter,https://en.wikipedia.org/wiki/Present_Laughter,Noël Coward,https://en.wikipedia.org/wiki/No%C3%ABl_Coward
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,A Doll's House,https://en.wikipedia.org/wiki/A_Doll%27s_House,Henrik Ibsen,https://en.wikipedia.org/wiki/Henrik_Ibsen
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,London Assurance,https://en.wikipedia.org/wiki/London_Assurance,Dion Boucicault,https://en.wikipedia.org/wiki/Dion_Boucicault
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,"Ah, Wilderness!","https://en.wikipedia.org/wiki/Ah,_Wilderness!",Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,The Chairs,https://en.wikipedia.org/wiki/The_Chairs,Eugène Ionesco,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,The Diary of Anne Frank,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play),Frances GoodrichandAlbert Hackett,https://en.wikipedia.org/wiki/Frances_Goodrich
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Electra,https://en.wikipedia.org/wiki/Electra_(Sophocles_play),Sophocles,https://en.wikipedia.org/wiki/Sophocles
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,The Price,https://en.wikipedia.org/wiki/The_Price_(play),Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play),Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Amadeus,https://en.wikipedia.org/wiki/Amadeus_(play),Peter Shaffer,https://en.wikipedia.org/wiki/Peter_Shaffer
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,One Flew Over the Cuckoo's Nest,https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(play),Dale Wasserman,https://en.wikipedia.org/wiki/Dale_Wasserman
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Betrayal,https://en.wikipedia.org/wiki/Betrayal_(play),Harold Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play),Gore Vidal,https://en.wikipedia.org/wiki/Gore_Vidal
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,The Search for Signs of Intelligent Life in the Universe,https://en.wikipedia.org/wiki/The_Search_for_Signs_of_Intelligent_Life_in_the_Universe,Jane Wagner,https://en.wikipedia.org/wiki/Jane_Wagner
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Private Lives,https://en.wikipedia.org/wiki/Private_Lives,Noël Coward,https://en.wikipedia.org/wiki/No%C3%ABl_Coward
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,Paul Osborn,https://en.wikipedia.org/wiki/Paul_Osborn
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,Michael Frayn,https://en.wikipedia.org/wiki/Michael_Frayn
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Frankie and Johnny in the Clair de Lune,https://en.wikipedia.org/wiki/Frankie_and_Johnny_in_the_Clair_de_Lune,Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Dinner at Eight,https://en.wikipedia.org/wiki/Dinner_at_Eight_(play),Edna FerberandGeorge S. Kaufman,https://en.wikipedia.org/wiki/Edna_Ferber
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg,Peter Nichols,https://en.wikipedia.org/wiki/Peter_Nichols_(playwright)
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Henry IV,"https://en.wikipedia.org/wiki/Henry_IV,_Part_1",William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Jumpers,https://en.wikipedia.org/wiki/Jumpers_(play),Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,King Lear,https://en.wikipedia.org/wiki/King_Lear,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,Lorraine Hansberry,https://en.wikipedia.org/wiki/Lorraine_Hansberry
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Glengarry Glen Ross,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross,David Mamet,https://en.wikipedia.org/wiki/David_Mamet
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,On Golden Pond,https://en.wikipedia.org/wiki/On_Golden_Pond_(play),Ernest Thompson,https://en.wikipedia.org/wiki/Ernest_Thompson
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Twelve Angry Men,https://en.wikipedia.org/wiki/Twelve_Angry_Men_(play),Reginald Rose,https://en.wikipedia.org/wiki/Reginald_Rose
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Faith Healer,https://en.wikipedia.org/wiki/Faith_Healer,Brian Friel,https://en.wikipedia.org/wiki/Brian_Friel
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Seascape,https://en.wikipedia.org/wiki/Seascape_(play),Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!,Clifford Odets,https://en.wikipedia.org/wiki/Clifford_Odets
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,The Constant Wife,https://en.wikipedia.org/wiki/The_Constant_Wife,W. Somerset Maugham,https://en.wikipedia.org/wiki/W._Somerset_Maugham
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Talk Radio,https://en.wikipedia.org/wiki/Talk_Radio_(play),Eric Bogosian,https://en.wikipedia.org/wiki/Eric_Bogosian
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Translations,https://en.wikipedia.org/wiki/Translations_(play),Brian Friel,https://en.wikipedia.org/wiki/Brian_Friel
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Journey's End,https://en.wikipedia.org/wiki/Journey%27s_End,R. C. Sherriff,https://en.wikipedia.org/wiki/R._C._Sherriff
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play),Jerome LawrenceandRobert E. Lee,https://en.wikipedia.org/wiki/Jerome_Lawrence
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Boeing-Boeing,https://en.wikipedia.org/wiki/Boeing-Boeing_(play),Marc Camoletti,https://en.wikipedia.org/wiki/Marc_Camoletti_(playwright)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming,Harold Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_Liaisons_Dangereuses_(Hampton_play),Christopher Hampton,https://en.wikipedia.org/wiki/Christopher_Hampton
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Macbeth,https://en.wikipedia.org/wiki/Macbeth,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,The Norman Conquests,https://en.wikipedia.org/wiki/The_Norman_Conquests,Alan Ayckbourn,https://en.wikipedia.org/wiki/Alan_Ayckbourn
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone,August Wilson,https://en.wikipedia.org/wiki/August_Wilson
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Mary Stuart,https://en.wikipedia.org/wiki/Mary_Stuart_(play),Friedrich Schiller,https://en.wikipedia.org/wiki/Friedrich_Schiller
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Waiting for Godot,https://en.wikipedia.org/wiki/Waiting_for_Godot,Samuel Beckett,https://en.wikipedia.org/wiki/Samuel_Beckett
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,The Royal Family,https://en.wikipedia.org/wiki/The_Royal_Family_(play),Edna FerberandGeorge S. Kaufman,https://en.wikipedia.org/wiki/Edna_Ferber
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Fences,https://en.wikipedia.org/wiki/Fences_(play),August Wilson,https://en.wikipedia.org/wiki/August_Wilson
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Lend Me a Tenor,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor,Ken Ludwig,https://en.wikipedia.org/wiki/Ken_Ludwig
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Arcadia,https://en.wikipedia.org/wiki/Arcadia_(play),Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,The Importance of Being Earnest,https://en.wikipedia.org/wiki/The_Importance_of_Being_Earnest,Oscar Wilde,https://en.wikipedia.org/wiki/Oscar_Wilde
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,The Normal Heart,https://en.wikipedia.org/wiki/The_Normal_Heart,Larry Kramer,https://en.wikipedia.org/wiki/Larry_Kramer
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play),Gore Vidal,https://en.wikipedia.org/wiki/Gore_Vidal
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Master Class,https://en.wikipedia.org/wiki/Master_Class,Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Wit,https://en.wikipedia.org/wiki/Wit_(play),Margaret Edson,https://en.wikipedia.org/wiki/Margaret_Edson
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(play),Clifford Odets,https://en.wikipedia.org/wiki/Clifford_Odets
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Orphans,https://en.wikipedia.org/wiki/Orphans_(Lyle_Kessler_play),Lyle Kessler,https://en.wikipedia.org/wiki/Lyle_Kessler
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,The Trip to Bountiful,https://en.wikipedia.org/wiki/The_Trip_to_Bountiful_(play),Horton Foote,https://en.wikipedia.org/wiki/Horton_Foote
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie,Tennessee Williams,https://en.wikipedia.org/wiki/Tennessee_Williams
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,The Cripple of Inishmaan,https://en.wikipedia.org/wiki/The_Cripple_of_Inishmaan,Martin McDonagh,https://en.wikipedia.org/wiki/Martin_McDonagh
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,Lorraine Hansberry,https://en.wikipedia.org/wiki/Lorraine_Hansberry
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Skylight,https://en.wikipedia.org/wiki/Skylight_(play),David Hare,https://en.wikipedia.org/wiki/David_Hare_(playwright)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),Bernard Pomerance,https://en.wikipedia.org/wiki/Bernard_Pomerance
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,This Is Our Youth,https://en.wikipedia.org/wiki/This_Is_Our_Youth,Kenneth Lonergan,https://en.wikipedia.org/wiki/Kenneth_Lonergan
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,You Can't Take It With You,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(play),Moss HartandGeorge S. Kaufman,https://en.wikipedia.org/wiki/Moss_Hart
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Blackbird,https://en.wikipedia.org/wiki/Blackbird_(play),David Harrower,https://en.wikipedia.org/wiki/David_Harrower
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Long Day's Journey Into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_Into_Night,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,Michael Frayn,https://en.wikipedia.org/wiki/Michael_Frayn
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Six Degrees of Separation,https://en.wikipedia.org/wiki/Six_Degrees_of_Separation_(play),John Guare,https://en.wikipedia.org/wiki/John_Guare
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Present Laughter,https://en.wikipedia.org/wiki/Present_Laughter,Noël Coward,https://en.wikipedia.org/wiki/No%C3%ABl_Coward
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,Lillian Hellman,https://en.wikipedia.org/wiki/Lillian_Hellman
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Jitney,https://en.wikipedia.org/wiki/Jitney_(play),August Wilson,https://en.wikipedia.org/wiki/August_Wilson
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Angels in America,https://en.wikipedia.org/wiki/Angels_in_America,Tony Kushner,https://en.wikipedia.org/wiki/Tony_Kushner
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Lobby Hero,https://en.wikipedia.org/wiki/Lobby_Hero,Kenneth Lonergan,https://en.wikipedia.org/wiki/Kenneth_Lonergan
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Three Tall Women,https://en.wikipedia.org/wiki/Three_Tall_Women,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Travesties,https://en.wikipedia.org/wiki/Travesties,Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,The Boys in the Band,https://en.wikipedia.org/wiki/The_Boys_in_the_Band_(play),Mart Crowley,https://en.wikipedia.org/wiki/Mart_Crowley
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Burn This,https://en.wikipedia.org/wiki/Burn_This,Lanford Wilson,https://en.wikipedia.org/wiki/Lanford_Wilson
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Torch Song,https://en.wikipedia.org/wiki/Torch_Song_Trilogy,Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,The Waverly Gallery,https://en.wikipedia.org/wiki/The_Waverly_Gallery,Kenneth Lonergan,https://en.wikipedia.org/wiki/Kenneth_Lonergan
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Frankie and Johnny in the Clair de Lune,https://en.wikipedia.org/wiki/Frankie_and_Johnny_in_the_Clair_de_Lune,Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Betrayal,https://en.wikipedia.org/wiki/Betrayal_(play),Harold Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,A Soldier's Play,https://en.wikipedia.org/wiki/A_Soldier%27s_Play,Charles Fuller,https://en.wikipedia.org/wiki/Charles_Fuller
