year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
1947,1947,/wiki/1st_Tony_Awards,False,Jose Ferrer,https://en.wikipedia.org/wiki/Jose_Ferrer,Cyrano De Bergerac,https://en.wikipedia.org/wiki/Cyrano_De_Bergerac,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Cyrano_de_Bergerac_(play)
1947,1947,/wiki/1st_Tony_Awards,True,Fredrick March,https://en.wikipedia.org/wiki/Fredrick_March,Clinton Jones,,Years Ago,
1948,1948,/wiki/2nd_Tony_Awards,False,Henry Fonda,https://en.wikipedia.org/wiki/Henry_Fonda,Lt. Roberts,,Mister Roberts,https://en.wikipedia.org/wiki/Mister_Roberts_(play)
1948,1948,/wiki/2nd_Tony_Awards,True,Paul Kelly,https://en.wikipedia.org/wiki/Paul_Kelly_(actor),Brigadier General K.C. Dennis,,Command Decision,https://en.wikipedia.org/wiki/Command_Decision_(play)
1948,1948,/wiki/2nd_Tony_Awards,True,Basil Rathbone,https://en.wikipedia.org/wiki/Basil_Rathbone,Dr. Austin Sloper,,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play)
1949,1949,/wiki/3rd_Tony_Awards,True,Rex Harrison,https://en.wikipedia.org/wiki/Rex_Harrison,Henry VIII,https://en.wikipedia.org/wiki/Henry_VIII_of_England,Anne of the Thousand Days,
1950,1950,/wiki/4th_Tony_Awards,True,Sidney Blackmer,https://en.wikipedia.org/wiki/Sidney_Blackmer,Doc,,"Come Back, Little Sheba","https://en.wikipedia.org/wiki/Come_Back,_Little_Sheba_(play)"
1951,1951,/wiki/5th_Tony_Awards,True,Claude Rains,https://en.wikipedia.org/wiki/Claude_Rains,Rubashov,,Darkness at Noon,https://en.wikipedia.org/wiki/Darkness_at_Noon
1952,1952,/wiki/6th_Tony_Awards,True,José Ferrer,https://en.wikipedia.org/wiki/Jos%C3%A9_Ferrer,Jim Downs,,The Shrike,https://en.wikipedia.org/wiki/The_Shrike_(play)
1953,1953,/wiki/7th_Tony_Awards,True,Tom Ewell,https://en.wikipedia.org/wiki/Tom_Ewell,Richard Sherman,,The Seven Year Itch,https://en.wikipedia.org/wiki/The_Seven_Year_Itch_(play)
1954,1954,/wiki/8th_Tony_Awards,True,David Wayne,https://en.wikipedia.org/wiki/David_Wayne,Sakini,,The Teahouse of the August Moon,https://en.wikipedia.org/wiki/The_Teahouse_of_the_August_Moon_(play)
1955,1955,/wiki/9th_Tony_Awards,True,Alfred Lunt,https://en.wikipedia.org/wiki/Alfred_Lunt,Diensen,,Quadrille,https://en.wikipedia.org/wiki/Quadrille_(play)
1956,1956,/wiki/10th_Tony_Awards,True,Paul Muni,https://en.wikipedia.org/wiki/Paul_Muni,Henry Drummond,,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play)
1956,1956,/wiki/10th_Tony_Awards,False,Ben Gazzara,https://en.wikipedia.org/wiki/Ben_Gazzara,Johnny Pope,,A Hatful of Rain,https://en.wikipedia.org/wiki/A_Hatful_of_Rain
1956,1956,/wiki/10th_Tony_Awards,False,Boris Karloff,https://en.wikipedia.org/wiki/Boris_Karloff,Pierre Cauchon,https://en.wikipedia.org/wiki/Pierre_Cauchon,The Lark,https://en.wikipedia.org/wiki/The_Lark_(play)
1956,1956,/wiki/10th_Tony_Awards,False,Michael Redgrave,https://en.wikipedia.org/wiki/Michael_Redgrave,Hector,,Tiger at the Gates,https://en.wikipedia.org/wiki/The_Trojan_War_Will_Not_Take_Place
1956,1956,/wiki/10th_Tony_Awards,False,Edward G. Robinson,https://en.wikipedia.org/wiki/Edward_G._Robinson,The Manufacturer,,Middle of the Night,https://en.wikipedia.org/wiki/Middle_of_the_Night
1957,1957,/wiki/11th_Tony_Awards,False,Cyril Ritchard,https://en.wikipedia.org/wiki/Cyril_Ritchard,Kreton,,Visit to a Small Planet,https://en.wikipedia.org/wiki/Visit_to_a_Small_Planet
1957,1957,/wiki/11th_Tony_Awards,False,Ralph Richardson,https://en.wikipedia.org/wiki/Ralph_Richardson,General St. Pé,,The Waltz of the Toreadors,https://en.wikipedia.org/wiki/The_Waltz_of_the_Toreadors
1957,1957,/wiki/11th_Tony_Awards,False,Eric Portman,https://en.wikipedia.org/wiki/Eric_Portman,Mr. Malcolm / Major Pollock,,Separate Tables,https://en.wikipedia.org/wiki/Separate_Tables
1957,1957,/wiki/11th_Tony_Awards,False,Maurice Evans,https://en.wikipedia.org/wiki/Maurice_Evans_(actor),King Magnus,,The Apple Cart,https://en.wikipedia.org/wiki/The_Apple_Cart
1957,1957,/wiki/11th_Tony_Awards,True,Fredric March,https://en.wikipedia.org/wiki/Fredric_March,James Tyrone Sr.,,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
1957,1957,/wiki/11th_Tony_Awards,False,Wilfrid Hyde-White,https://en.wikipedia.org/wiki/Wilfrid_Hyde-White,Jimmy Broadbent,,The Reluctant Debutante,https://en.wikipedia.org/wiki/The_Reluctant_Debutante_(play)
1958,1958,/wiki/12th_Tony_Awards,False,Emlyn Williams,https://en.wikipedia.org/wiki/Emlyn_Williams,Himself,,A Boy Growing Up,
1958,1958,/wiki/12th_Tony_Awards,True,Ralph Bellamy,https://en.wikipedia.org/wiki/Ralph_Bellamy,Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,Sunrise at Campobello,https://en.wikipedia.org/wiki/Sunrise_at_Campobello_(play)
1958,1958,/wiki/12th_Tony_Awards,False,Richard Burton,https://en.wikipedia.org/wiki/Richard_Burton,Prince Albert,,Time Remembered,https://en.wikipedia.org/wiki/L%C3%A9ocadia
1958,1958,/wiki/12th_Tony_Awards,False,Hugh Griffith,https://en.wikipedia.org/wiki/Hugh_Griffith,W.O. Gant,,"Look Homeward, Angel","https://en.wikipedia.org/wiki/Look_Homeward,_Angel_(play)"
1958,1958,/wiki/12th_Tony_Awards,False,Laurence Olivier,https://en.wikipedia.org/wiki/Laurence_Olivier,Archie,,The Entertainer,https://en.wikipedia.org/wiki/The_Entertainer_(play)
1958,1958,/wiki/12th_Tony_Awards,False,Anthony Perkins,https://en.wikipedia.org/wiki/Anthony_Perkins,Eugene Gant,,"Look Homeward, Angel","https://en.wikipedia.org/wiki/Look_Homeward,_Angel_(play)"
1958,1958,/wiki/12th_Tony_Awards,False,Peter Ustinov,https://en.wikipedia.org/wiki/Peter_Ustinov,The General,,Romanoff and Juliet,https://en.wikipedia.org/wiki/Romanoff_and_Juliet_(play)
1959,1959,/wiki/12th_Tony_Awards,True,Jason Robards,https://en.wikipedia.org/wiki/Jason_Robards,Manley Halliday,,The Disenchanted,
1959,1959,/wiki/12th_Tony_Awards,False,Cedric Hardwicke,https://en.wikipedia.org/wiki/Cedric_Hardwicke,Koichi Asano,,A Majority of One,https://en.wikipedia.org/wiki/A_Majority_of_One
1959,1959,/wiki/12th_Tony_Awards,False,Alfred Lunt,https://en.wikipedia.org/wiki/Alfred_Lunt,Anton Schill,,The Visit,https://en.wikipedia.org/wiki/The_Visit_(play)
1959,1959,/wiki/12th_Tony_Awards,False,Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,Nickles,,J.B.,https://en.wikipedia.org/wiki/J.B._(play)
1959,1959,/wiki/12th_Tony_Awards,False,Cyril Ritchard,https://en.wikipedia.org/wiki/Cyril_Ritchard,Biddeford Poole,,The Pleasure of His Company,
1959,1959,/wiki/12th_Tony_Awards,False,Robert Stephens,https://en.wikipedia.org/wiki/Robert_Stephens,George Dillon,,Epitaph for George Dillon,https://en.wikipedia.org/wiki/Epitaph_for_George_Dillon
1960,1960,/wiki/14th_Tony_Awards,False,Lee Tracy,https://en.wikipedia.org/wiki/Lee_Tracy,Arthur Hockstader,,The Best Man,
1960,1960,/wiki/14th_Tony_Awards,False,George C. Scott,https://en.wikipedia.org/wiki/George_C._Scott,Lt. Col. N. P. Chipman,,The Andersonville Trial,https://en.wikipedia.org/wiki/The_Andersonville_Trial
1960,1960,/wiki/14th_Tony_Awards,False,Sidney Poitier,https://en.wikipedia.org/wiki/Sidney_Poitier,Walter Lee Younger,,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun
1960,1960,/wiki/14th_Tony_Awards,True,Melvyn Douglas,https://en.wikipedia.org/wiki/Melvyn_Douglas,William Russell,,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play)
1960,1960,/wiki/14th_Tony_Awards,False,Jason Robards,https://en.wikipedia.org/wiki/Jason_Robards,Julian Berniers,,Toys in the Attic,https://en.wikipedia.org/wiki/Toys_in_the_Attic_(play)
1961,1961,/wiki/15th_Tony_Awards,True,Zero Mostel,https://en.wikipedia.org/wiki/Zero_Mostel,John,,Rhinocéros,https://en.wikipedia.org/wiki/Rhinoceros_(play)
1961,1961,/wiki/15th_Tony_Awards,False,Hume Cronyn,https://en.wikipedia.org/wiki/Hume_Cronyn,Jimmie Luton,,"Big Fish, Little Fish",
1961,1961,/wiki/15th_Tony_Awards,False,Anthony Quinn,https://en.wikipedia.org/wiki/Anthony_Quinn,Henry II,https://en.wikipedia.org/wiki/Henry_II_of_England,Becket,https://en.wikipedia.org/wiki/Becket
1961,1961,/wiki/15th_Tony_Awards,False,Sam Levene,https://en.wikipedia.org/wiki/Sam_Levene,Dr. Aldo Meyer,,The Devil's Advocate,
1962,1962,/wiki/16th_Tony_Awards,True,Paul Scofield,https://en.wikipedia.org/wiki/Paul_Scofield,Sir Thomas More,https://en.wikipedia.org/wiki/Thomas_More,A Man for All Seasons,https://en.wikipedia.org/wiki/A_Man_for_All_Seasons
1962,1962,/wiki/16th_Tony_Awards,False,Fredric March,https://en.wikipedia.org/wiki/Fredric_March,Angel,,Gideon,https://en.wikipedia.org/wiki/Gideon_(play)
1962,1962,/wiki/16th_Tony_Awards,False,John Mills,https://en.wikipedia.org/wiki/John_Mills,Aircraftman Ross,,Ross,https://en.wikipedia.org/wiki/Ross_(play)
1962,1962,/wiki/16th_Tony_Awards,False,Donald Pleasence,https://en.wikipedia.org/wiki/Donald_Pleasence,Davies,,The Caretaker,https://en.wikipedia.org/wiki/The_Caretaker
1963,1963,/wiki/17th_Tony_Awards,True,Arthur Hill,https://en.wikipedia.org/wiki/Arthur_Hill_(actor),George,,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
1963,1963,/wiki/17th_Tony_Awards,False,Charles Boyer,https://en.wikipedia.org/wiki/Charles_Boyer,Lord Pengo,,Lord Pengo,
1963,1963,/wiki/17th_Tony_Awards,False,Paul Ford,https://en.wikipedia.org/wiki/Paul_Ford,Harry Lambert,,Never Too Late,
1963,1963,/wiki/17th_Tony_Awards,False,Bert Lahr,https://en.wikipedia.org/wiki/Bert_Lahr,Various Characters,,The Beauty Part,https://en.wikipedia.org/wiki/The_Beauty_Part
1964,1964,/wiki/18th_Tony_Awards,False,Jason Robards,https://en.wikipedia.org/wiki/Jason_Robards,Quentin,,After the Fall,https://en.wikipedia.org/wiki/After_the_Fall_(play)
1964,1964,/wiki/18th_Tony_Awards,False,Albert Finney,https://en.wikipedia.org/wiki/Albert_Finney,Martin Luther,https://en.wikipedia.org/wiki/Martin_Luther,Luther,https://en.wikipedia.org/wiki/Luther_(play)
1964,1964,/wiki/18th_Tony_Awards,False,Richard Burton,https://en.wikipedia.org/wiki/Richard_Burton,Hamlet,https://en.wikipedia.org/wiki/Prince_Hamlet,Hamlet,https://en.wikipedia.org/wiki/Hamlet
1964,1964,/wiki/18th_Tony_Awards,True,Alec Guinness,https://en.wikipedia.org/wiki/Alec_Guinness,Dylan Thomas,https://en.wikipedia.org/wiki/Dylan_Thomas,Dylan,https://en.wikipedia.org/wiki/Dylan_(play)
1965,1965,/wiki/19th_Tony_Awards,True,Walter Matthau,https://en.wikipedia.org/wiki/Walter_Matthau,Oscar Madison,,The Odd Couple,https://en.wikipedia.org/wiki/The_Odd_Couple_(play)
1965,1965,/wiki/19th_Tony_Awards,False,John Gielgud,https://en.wikipedia.org/wiki/John_Gielgud,Julian,,Tiny Alice,https://en.wikipedia.org/wiki/Tiny_Alice
1965,1965,/wiki/19th_Tony_Awards,False,Donald Pleasence,https://en.wikipedia.org/wiki/Donald_Pleasence,Bitos (Robespieere),,Poor Bitos,
1965,1965,/wiki/19th_Tony_Awards,False,Jason Robards,https://en.wikipedia.org/wiki/Jason_Robards,"""Erie"" Smith",,Hughie,https://en.wikipedia.org/wiki/Hughie
1966,1966,/wiki/20th_Tony_Awards,True,Hal Holbrook,https://en.wikipedia.org/wiki/Hal_Holbrook,Mark Twain,https://en.wikipedia.org/wiki/Mark_Twain,Mark Twain Tonight!,https://en.wikipedia.org/wiki/Mark_Twain_Tonight!
1966,1966,/wiki/20th_Tony_Awards,False,Patrick Bedford&Donal Donnelly,https://en.wikipedia.org/wiki/Patrick_Bedford,Gareth O'Donnell,,"Philadelphia, Here I Come!","https://en.wikipedia.org/wiki/Philadelphia,_Here_I_Come!"
1966,1966,/wiki/20th_Tony_Awards,False,Roland Culver,https://en.wikipedia.org/wiki/Roland_Culver,Pavel Lebedev,,Ivanov,https://en.wikipedia.org/wiki/Ivanov_(play)
1966,1966,/wiki/20th_Tony_Awards,False,Nicol Williamson,https://en.wikipedia.org/wiki/Nicol_Williamson,Bill Maitland,,Inadmissible Evidence,https://en.wikipedia.org/wiki/Inadmissible_Evidence
1967,1967,/wiki/21st_Tony_Awards,True,Paul Rogers,https://en.wikipedia.org/wiki/Paul_Rogers_(actor),Max,,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming
1967,1967,/wiki/21st_Tony_Awards,False,Hume Cronyn,https://en.wikipedia.org/wiki/Hume_Cronyn,Tobias,,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play)
1967,1967,/wiki/21st_Tony_Awards,False,Donald Madden,https://en.wikipedia.org/wiki/Donald_Madden,Harold Gorringe,,Black Comedy,https://en.wikipedia.org/wiki/Black_Comedy_(play)
1967,1967,/wiki/21st_Tony_Awards,False,Donald Moffat,https://en.wikipedia.org/wiki/Donald_Moffat,Laudisi,,Right You Are (If You Think You Are),https://en.wikipedia.org/wiki/Right_You_Are_(If_You_Think_You_Are)
1967,1967,/wiki/21st_Tony_Awards,False,Donald Moffat,https://en.wikipedia.org/wiki/Donald_Moffat,Hjalmar Ekdal,,The Wild Duck,https://en.wikipedia.org/wiki/The_Wild_Duck
1968,1968,/wiki/22nd_Tony_Awards,False,Milo O'Shea,https://en.wikipedia.org/wiki/Milo_O%27Shea,Harry C. Leeds,,Staircase,https://en.wikipedia.org/wiki/Staircase_(play)
1968,1968,/wiki/22nd_Tony_Awards,False,Alan Webb,https://en.wikipedia.org/wiki/Alan_Webb_(actor),Tom Garrison,,I Never Sang for My Father,https://en.wikipedia.org/wiki/I_Never_Sang_for_My_Father
1968,1968,/wiki/22nd_Tony_Awards,True,Martin Balsam,https://en.wikipedia.org/wiki/Martin_Balsam,Various Characters,,You Know I Can't Hear You When the Water's Running,https://en.wikipedia.org/wiki/You_Know_I_Can%27t_Hear_You_When_the_Water%27s_Running
1968,1968,/wiki/22nd_Tony_Awards,False,Albert Finney,https://en.wikipedia.org/wiki/Albert_Finney,Bri,,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg
1969,1969,/wiki/23rd_Tony_Awards,False,Alec McCowen,https://en.wikipedia.org/wiki/Alec_McCowen,Fr. William Rolfe,,Hadrian the Seventh,https://en.wikipedia.org/wiki/Hadrian_the_Seventh
1969,1969,/wiki/23rd_Tony_Awards,False,Donald Pleasence,https://en.wikipedia.org/wiki/Donald_Pleasence,Arthur Goldman,,The Man in the Glass Booth,https://en.wikipedia.org/wiki/The_Man_in_the_Glass_Booth
1969,1969,/wiki/23rd_Tony_Awards,True,James Earl Jones,https://en.wikipedia.org/wiki/James_Earl_Jones,Jack Jefferson,,The Great White Hope,https://en.wikipedia.org/wiki/The_Great_White_Hope
1969,1969,/wiki/23rd_Tony_Awards,False,Art Carney,https://en.wikipedia.org/wiki/Art_Carney,Andy Tracey,,Lovers,https://en.wikipedia.org/wiki/Lovers_(play)
1970,1970,/wiki/24th_Tony_Awards,True,Fritz Weaver,https://en.wikipedia.org/wiki/Fritz_Weaver,Jerome Malley,,Child's Play,https://en.wikipedia.org/wiki/Child%27s_Play_(play)
1970,1970,/wiki/24th_Tony_Awards,False,James Coco,https://en.wikipedia.org/wiki/James_Coco,Barney Cashman,,The Last of the Red Hot Lovers,https://en.wikipedia.org/wiki/The_Last_of_the_Red_Hot_Lovers
1970,1970,/wiki/24th_Tony_Awards,False,Frank Grimes,https://en.wikipedia.org/wiki/Frank_Grimes_(actor),Young Behan,,Borstal Boy,https://en.wikipedia.org/wiki/Borstal_Boy
1970,1970,/wiki/24th_Tony_Awards,False,Stacy Keach,https://en.wikipedia.org/wiki/Stacy_Keach,Buffalo Bill,,Indians,https://en.wikipedia.org/wiki/Indians_(play)
1971,1971,/wiki/25th_Tony_Awards,True,Brian Bedford,https://en.wikipedia.org/wiki/Brian_Bedford,Arnolphe,,The School for Wives,https://en.wikipedia.org/wiki/The_School_for_Wives
1971,1971,/wiki/25th_Tony_Awards,False,John Gielgud,https://en.wikipedia.org/wiki/John_Gielgud,Harry,,Home,https://en.wikipedia.org/wiki/Home_(play)
1971,1971,/wiki/25th_Tony_Awards,False,Alec McCowen,https://en.wikipedia.org/wiki/Alec_McCowen,Philip,,The Philanthropist,https://en.wikipedia.org/wiki/The_Philanthropist_(play)
1971,1971,/wiki/25th_Tony_Awards,False,Ralph Richardson,https://en.wikipedia.org/wiki/Ralph_Richardson,Jack,,Home,
1972,1972,/wiki/26th_Tony_Awards,False,Jason Robards,https://en.wikipedia.org/wiki/Jason_Robards,Frank Elgin,,The Country Girl,https://en.wikipedia.org/wiki/The_Country_Girl_(1950_play)
1972,1972,/wiki/26th_Tony_Awards,False,Donald Pleasence,https://en.wikipedia.org/wiki/Donald_Pleasence,Mrs. Artminster,,Wise Child,https://en.wikipedia.org/wiki/Wise_Child
1972,1972,/wiki/26th_Tony_Awards,True,Cliff Gorman,https://en.wikipedia.org/wiki/Cliff_Gorman,Lenny Bruce,https://en.wikipedia.org/wiki/Lenny_Bruce,Lenny,
1972,1972,/wiki/26th_Tony_Awards,False,Tom Aldredge,https://en.wikipedia.org/wiki/Tom_Aldredge,Ozzie,,Sticks and Bones,https://en.wikipedia.org/wiki/Sticks_and_Bones
1973,1973,/wiki/27th_Tony_Awards,True,Alan Bates,https://en.wikipedia.org/wiki/Alan_Bates,Ben Butley,,Butley,https://en.wikipedia.org/wiki/Butley_(play)
1973,1973,/wiki/27th_Tony_Awards,False,Jack Albertson,https://en.wikipedia.org/wiki/Jack_Albertson,Willie Clark,,The Sunshine Boys,https://en.wikipedia.org/wiki/The_Sunshine_Boys
1973,1973,/wiki/27th_Tony_Awards,False,Wilfrid Hyde-White,https://en.wikipedia.org/wiki/Wilfrid_Hyde-White,Marquis of Candover,,The Jockey Club Stakes,https://en.wikipedia.org/wiki/The_Jockey_Club_Stakes
1973,1973,/wiki/27th_Tony_Awards,False,Paul Sorvino,https://en.wikipedia.org/wiki/Paul_Sorvino,Phil Romano,,That Championship Season,https://en.wikipedia.org/wiki/That_Championship_Season
1974,1974,/wiki/28th_Tony_Awards,False,Nicol Williamson,https://en.wikipedia.org/wiki/Nicol_Williamson,Ivan Petrovich Voinitsky,,Uncle Vanya,https://en.wikipedia.org/wiki/Uncle_Vanya
1974,1974,/wiki/28th_Tony_Awards,False,George C. Scott,https://en.wikipedia.org/wiki/George_C._Scott,Mikhail lvovich Astrov,,Uncle Vanya,https://en.wikipedia.org/wiki/Uncle_Vanya
1974,1974,/wiki/28th_Tony_Awards,False,Zero Mostel,https://en.wikipedia.org/wiki/Zero_Mostel,Leopold Bloom,,Ulysses in Nighttown,https://en.wikipedia.org/wiki/Ulysses_in_Nighttown
1974,1974,/wiki/28th_Tony_Awards,True,Michael Moriarty,https://en.wikipedia.org/wiki/Michael_Moriarty,Julian Weston,,Find Your Way Home,
1974,1974,/wiki/28th_Tony_Awards,False,Jason Robards,https://en.wikipedia.org/wiki/Jason_Robards,James Tyrone Jr.,,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten
1975,1975,/wiki/29th_Tony_Awards,True,John Kani&Winston Ntshona,https://en.wikipedia.org/wiki/John_Kani,Various Characters,,Sizwe Banzi Is Dead/The Island,https://en.wikipedia.org/wiki/Sizwe_Banzi_Is_Dead
1975,1975,/wiki/29th_Tony_Awards,False,Jim Dale,https://en.wikipedia.org/wiki/Jim_Dale,Scapino,,Scapino!,https://en.wikipedia.org/wiki/Scapino!
1975,1975,/wiki/29th_Tony_Awards,False,Peter Firth,https://en.wikipedia.org/wiki/Peter_Firth,Alan Strang,,Equus,https://en.wikipedia.org/wiki/Equus_(play)
1975,1975,/wiki/29th_Tony_Awards,False,Henry Fonda,https://en.wikipedia.org/wiki/Henry_Fonda,Clarence Darrow,https://en.wikipedia.org/wiki/Clarence_Darrow,Clarence Darrow,
1975,1975,/wiki/29th_Tony_Awards,False,Ben Gazzara,https://en.wikipedia.org/wiki/Ben_Gazzara,"""Erie"" Smith",,Hughie and Duet,
1975,1975,/wiki/29th_Tony_Awards,False,John Wood,https://en.wikipedia.org/wiki/John_Wood_(English_actor),Sherlock Holmes,https://en.wikipedia.org/wiki/Sherlock_Holmes,Sherlock Holmes,https://en.wikipedia.org/wiki/Sherlock_Holmes_(play)
1976,1976,/wiki/30th_Tony_Awards,False,Donald Sinden,https://en.wikipedia.org/wiki/Donald_Sinden,Arthur Wicksteed,,Habeas Corpus,https://en.wikipedia.org/wiki/Habeas_Corpus_(play)
1976,1976,/wiki/30th_Tony_Awards,False,George C. Scott,https://en.wikipedia.org/wiki/George_C._Scott,Willy Loman,https://en.wikipedia.org/wiki/Willy_Loman,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman
